Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Partnership Health Plan,Stanford Advantage Medicare Adv_ HMO,Sutter Health Plus HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
IP_EATING_ADULT,INPATIENT,Per Day Rate for Eating Disorders – Adult and Adolescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,962.00 ",,"$2,962.00 ","$2,166.00 ","$2,166.00 ","$2,962.00 "
IP_EATING_CHILD,INPATIENT,Per Day Rate for Eating Disorders – Child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,189.00 ",,"$3,189.00 ","$2,334.00 ","$2,334.00 ","$3,189.00 "
IP_GENDER,INPATIENT,Rate for all Inpatient services for Gender Reassignment procedures,,,,,,,,"$35,741.00 ",,,,"$36,402.00 ","$27,666.00 ",,"$48,159.00 ","$48,159.00 ","$41,877.00 ","$32,245.00 ",,,,"$40,094.00 ",,,"$37,487.00 ",,,,,,,"$51,135.38 ",,,"$52,253.00 ",,"$52,253.00 ","$54,056.00 ","$27,666.00 ","$54,056.00 "
IP_ICU,INPATIENT,Per Day Rate for all Inpatient services where stay is at ICU bed,,,,,,,,"$17,944.00 ",,,,"$18,290.00 ","$13,900.00 ",,"$23,371.00 ","$23,371.00 ","$20,323.00 ","$15,649.00 ",,,,"$23,814.00 ",,,"$18,789.00 ",,,,,,,"$13,067.61 ",,,"$18,578.00 ",,"$18,578.00 ","$13,599.00 ","$13,067.61 ","$23,814.00 "
IP_MEDSURG,INPATIENT,Per Day Rate for all Inpatient services where stay is at Medical Surgical bed,,,,,,,,"$7,286.00 ",,,,"$7,393.00 ","$5,618.00 ",,"$9,375.00 ","$9,375.00 ","$8,152.00 ","$6,277.00 ",,,,"$9,640.00 ",,,"$7,595.00 ",,,,,,,"$5,227.25 ",,,"$7,455.00 ",,"$7,455.00 ","$5,456.00 ","$5,227.25 ","$9,640.00 "
IP_NEWBORN,INPATIENT,Per Day Rate for all Inpatient services for Newborn when not included in Delivery rate,,,,,,,,"$2,326.00 ",,,,"$2,071.00 ","$1,574.00 ",,"$2,832.00 ","$2,832.00 ","$2,463.00 ","$1,897.00 ",,,,"$2,955.00 ",,,"$2,324.00 ",,,,,,,"$1,696.41 ",,,"$2,265.00 ",,"$2,265.00 ","$1,658.00 ","$1,574.00 ","$2,955.00 "
IP_NICU_II,INPATIENT,Per Day Rate for all Inpatient services where stay is at NICU Level II,,,,,,,,"$8,516.00 ",,,,"$8,086.00 ","$6,146.00 ",,"$9,881.00 ","$9,881.00 ","$8,592.00 ","$6,616.00 ",,,,"$10,110.00 ",,,"$8,719.00 ",,,,,,,"$6,109.96 ",,,"$8,424.00 ",,"$8,424.00 ","$6,162.00 ","$6,109.96 ","$10,110.00 "
IP_NICU_III,INPATIENT,Per Day Rate for all Inpatient services where stay is at NICU Level III,,,,,,,,"$12,325.00 ",,,,"$11,658.00 ","$8,860.00 ",,"$14,272.00 ","$14,272.00 ","$12,410.00 ","$9,555.00 ",,,,"$14,589.00 ",,,"$12,592.00 ",,,,,,,"$8,825.04 ",,,"$11,699.00 ",,"$11,699.00 ","$8,903.00 ","$8,825.04 ","$14,589.00 "
IP_NICU_IV,INPATIENT,Per Day Rate for all Inpatient services where stay is at NICU Level IV,,,,,,,,"$28,641.00 ",,,,"$26,985.00 ","$20,509.00 ",,"$33,152.00 ","$33,152.00 ","$28,828.00 ","$22,198.00 ",,,,"$33,875.00 ",,,"$29,444.00 ",,,,,,,"$20,478.46 ",,,"$27,190.00 ",,"$27,190.00 ","$20,676.00 ","$20,478.46 ","$33,875.00 "
IP_PD_BURN,INPATIENT,Per Day Rate for all Inpatient services for where stay is in a Burn Care bed,,,,,,,,"$17,944.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,944.00 ","$17,944.00 "
IP_PD_SNF,INPATIENT,Per Day Rate for all Inpatient skilled nursing or sub acute services,,,,,,,,"$2,664.00 ",,,,"$2,818.00 ","$2,141.00 ",,"$3,125.00 ","$3,125.00 ","$2,717.00 ","$2,092.00 ",,,,"$3,156.00 ",,,"$2,857.00 ",,,,,,,"$1,980.69 ",,,"$3,070.00 ",,"$3,070.00 ","$2,253.00 ","$1,980.69 ","$3,156.00 "
IP_PSYCH,INPATIENT,Per Day Rate for all Inpatient services for where stay is in a psychiatric bed,,,,,,,,"$3,144.00 ",,,,"$2,960.00 ","$2,250.00 ",,"$3,700.00 ","$3,700.00 ","$3,217.00 ","$2,477.00 ",,,,,,,,,,,,,,"$2,928.29 ",,,"$3,672.00 ",,"$3,672.00 ","$2,688.00 ","$2,250.00 ","$3,700.00 "
IP_RES_REHAB,INPATIENT,Per Day Rate for all Inpatient services for where stay is in a residential rehab bed,,,,,,,,"$3,144.00 ",,,,"$2,514.00 ","$1,910.00 ",,"$3,474.00 ","$3,474.00 ","$3,021.00 ","$2,327.00 ",,,,,,,,,,,,,,,,,,,,,"$1,910.00 ","$3,474.00 "
IP_RX-80000001-ERX114603,INPATIENT,SODIUM CITRATE ANTICOAGULANT 4% SOLN,J3490,,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX128032,INPATIENT,BUPIVACAINE PF 0.25% SOLN,S0020,,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX128033,INPATIENT,BUPIVACAINE PF 0.5% SOLN 30 ML VIAL,S0020,0409-1162-02,636,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX13463,INPATIENT,METRONIDAZOLE 500MG/100ML SOLN,S0030,0409-7811-24,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX159911,INPATIENT,NOREPINEPHRINE 1MG/ML SOLN 4 ML VIAL,J3490,0409-3375-04,250,$159.38 ,$95.63 ,$130.69 ,$122.72 ,,,$130.69 ,$122.72 ,,,,,,,,,$130.69 ,$122.72 ,,$130.69 ,$122.72 ,,,$121.13 ,,$124.32 ,,,,$130.69 ,$122.72 ,,,,,$121.13 ,$130.69 
IP_RX-80000001-ERX17369,INPATIENT,BUPIVACAINE PF 7.5MG/ML SOLN,J3490,0409-3613-01,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX20507,INPATIENT,SULFAMETHOXAZOLE/TRIMETHOPRIM 16MG TMP/ML SOLN 10 ML VIAL,J3490,,636,$42.36 ,$25.42 ,$34.74 ,$32.62 ,,,$34.74 ,$32.62 ,,,,,,,,,$34.74 ,$32.62 ,,$34.74 ,$32.62 ,,,$32.19 ,,$33.04 ,,,,$34.74 ,$32.62 ,,,,,$32.19 ,$34.74 
IP_RX-80000001-ERX23286,INPATIENT,SULFAMETHOXAZOLE/TRIMETHOPRIM 200MG-40MG/5ML SUSP,Z7610,,250,$11.38 ,$6.83 ,$9.33 ,$8.76 ,,,$9.33 ,$8.76 ,,,,,,,,,$9.33 ,$8.76 ,,$9.33 ,$8.76 ,,,$8.65 ,,$8.88 ,,,,$9.33 ,$8.76 ,,,,,$8.65 ,$9.33 
IP_RX-80000001-ERX25058,INPATIENT,"AZTREONAM 2,000MG SOLR",J3490,,250,$571.82 ,$343.09 ,$468.89 ,$440.30 ,,,$468.89 ,$440.30 ,,,,,,,,,$468.89 ,$440.30 ,,$468.89 ,$440.30 ,,,$434.58 ,,$446.02 ,,,,$468.89 ,$440.30 ,,,,,$434.58 ,$468.89 
IP_RX-80000001-ERX25475,INPATIENT,BUMETANIDE 0.25MG/ML SOLN,J3490,0641-6008-10,250,$37.50 ,$22.50 ,$30.75 ,$28.88 ,,,$30.75 ,$28.88 ,,,,,,,,,$30.75 ,$28.88 ,,$30.75 ,$28.88 ,,,$28.50 ,,$29.25 ,,,,$30.75 ,$28.88 ,,,,,$28.50 ,$30.75 
IP_RX-80000001-ERX26321,INPATIENT,CLINDAMYCIN 600MG/50ML SOLN,S0077,,636,$51.98 ,$31.19 ,$42.62 ,$40.02 ,,,$42.62 ,$40.02 ,,,,,,,,,$42.62 ,$40.02 ,,$42.62 ,$40.02 ,,,$39.50 ,,$40.54 ,,,,$42.62 ,$40.02 ,,,,,$39.50 ,$42.62 
IP_RX-80000001-ERX28788,INPATIENT,MISOPROSTOL 200MCG TABS,S0191,,250,$15.00 ,$9.00 ,$12.30 ,$11.55 ,,,$12.30 ,$11.55 ,,,,,,,,,$12.30 ,$11.55 ,,$12.30 ,$11.55 ,,,$11.40 ,,$11.70 ,,,,$12.30 ,$11.55 ,,,,,$11.40 ,$12.30 
IP_RX-80000001-ERX300570,INPATIENT,NOREPINEPHRINE 32MCG/ML SOLN,J3490,,250,$215.63 ,$129.38 ,$176.82 ,$166.04 ,,,$176.82 ,$166.04 ,,,,,,,,,$176.82 ,$166.04 ,,$176.82 ,$166.04 ,,,$163.88 ,,$168.19 ,,,,$176.82 ,$166.04 ,,,,,$163.88 ,$176.82 
IP_RX-80000001-ERX30270,INPATIENT,PROMETHAZINE 12.5MG SUPP,J3490,,636,$70.82 ,$42.49 ,$58.07 ,$54.53 ,,,$58.07 ,$54.53 ,,,,,,,,,$58.07 ,$54.53 ,,$58.07 ,$54.53 ,,,$53.82 ,,$55.24 ,,,,$58.07 ,$54.53 ,,,,,$53.82 ,$58.07 
IP_RX-80000001-ERX30271,INPATIENT,PROMETHAZINE 25MG SUPP,Z7610,,250,$48.70 ,$29.22 ,$39.93 ,$37.50 ,,,$39.93 ,$37.50 ,,,,,,,,,$39.93 ,$37.50 ,,$39.93 ,$37.50 ,,,$37.01 ,,$37.99 ,,,,$39.93 ,$37.50 ,,,,,$37.01 ,$39.93 
IP_RX-80000001-ERX324314,INPATIENT,METRONIDAZOLE 500MG/100ML SOLN,J3490,,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX3498,INPATIENT,BUPIVACAINE 0.25% SOLN,S0020,0409-1160-01,636,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX3499,INPATIENT,BUPIVACAINE 0.5% SOLN 50 ML VIAL,S0020,0409-1163-01,636,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX50003087,INPATIENT,MULTIVITAMINS,Z7610,,250,$2.00 ,$1.20 ,$1.64 ,$1.54 ,,,$1.64 ,$1.54 ,,,,,,,,,$1.64 ,$1.54 ,,$1.64 ,$1.54 ,,,$1.52 ,,$1.56 ,,,,$1.64 ,$1.54 ,,,,,$1.52 ,$1.64 
IP_RX-80000001-ERX50003091,INPATIENT,VITAMIN B COMPLEX+VITAMIN C,J3490,0904-0260-13,250,$2.00 ,$1.20 ,$1.64 ,$1.54 ,,,$1.64 ,$1.54 ,,,,,,,,,$1.64 ,$1.54 ,,$1.64 ,$1.54 ,,,$1.52 ,,$1.56 ,,,,$1.64 ,$1.54 ,,,,,$1.52 ,$1.64 
IP_RX-80000001-ERX50003095,INPATIENT,MULTIVITAMINS+MINERALS,Z7610,0904-5492-61,250,$2.00 ,$1.20 ,$1.64 ,$1.54 ,,,$1.64 ,$1.54 ,,,,,,,,,$1.64 ,$1.54 ,,$1.64 ,$1.54 ,,,$1.52 ,,$1.56 ,,,,$1.64 ,$1.54 ,,,,,$1.52 ,$1.64 
IP_RX-80000001-ERX50003174,INPATIENT,"AZTREONAM 2,000MG/100ML SOLN",J3490,,250,$426.04 ,$255.62 ,$349.35 ,$328.05 ,,,$349.35 ,$328.05 ,,,,,,,,,$349.35 ,$328.05 ,,$349.35 ,$328.05 ,,,$323.79 ,,$332.31 ,,,,$349.35 ,$328.05 ,,,,,$323.79 ,$349.35 
IP_RX-80000001-ERX50004288,INPATIENT,BUPIVACAINE PF 0.375% SOLN,S0020,,636,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX54056,INPATIENT,OLANZAPINE 10MG SOLR,J3490,,250,$74.43 ,$44.66 ,$61.03 ,$57.31 ,,,$61.03 ,$57.31 ,,,,,,,,,$61.03 ,$57.31 ,,$61.03 ,$57.31 ,,,$56.57 ,,$58.06 ,,,,$61.03 ,$57.31 ,,,,,$56.57 ,$61.03 
IP_RX-80000001-ERX55000024,INPATIENT,FAMOTIDINE 10MG/ML SOLN,S0028,0641-6022-25,636,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX87000013,INPATIENT,BUPIVACAINE PF 0.125%,S0020,,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX8707,INPATIENT,FOLIC ACID 5MG/ML SOLN 10 ML VIAL,J3490,63323-184-10,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000003-ERX17782,INPATIENT,PROCHLORPERAZINE 5MG TABS,Q0164,,250,$15.00 ,$9.00 ,$12.30 ,$11.55 ,,,$12.30 ,$11.55 ,,,,,,,,,$12.30 ,$11.55 ,,$12.30 ,$11.55 ,,,$11.40 ,,$11.70 ,,,,$12.30 ,$11.55 ,,,,,$11.40 ,$12.30 
IP_RX-80000003-ERX17889,INPATIENT,PROMETHAZINE 6.25MG/5ML SYRP,Q0169,,636,$7.50 ,$4.50 ,$6.15 ,$5.78 ,,,$6.15 ,$5.78 ,,,,,,,,,$6.15 ,$5.78 ,,$6.15 ,$5.78 ,,,$5.70 ,,$5.85 ,,,,$6.15 ,$5.78 ,,,,,$5.70 ,$6.15 
IP_RX-80000003-ERX27083,INPATIENT,DRONABINOL 2.5MG CAPS,Q0167,0904-6745-61,250,$40.00 ,$24.00 ,$32.80 ,$30.80 ,,,$32.80 ,$30.80 ,,,,,,,,,$32.80 ,$30.80 ,,$32.80 ,$30.80 ,,,$30.40 ,,$31.20 ,,,,$32.80 ,$30.80 ,,,,,$30.40 ,$32.80 
IP_RX-80000003-ERX60763,INPATIENT,APREPITANT 40MG CAPS,J8501,,636,$41.23 ,$24.74 ,$33.81 ,$31.75 ,,,$33.81 ,$31.75 ,,,,,,,,,$33.81 ,$31.75 ,,$33.81 ,$31.75 ,,,$31.33 ,,$32.16 ,,,,$33.81 ,$31.75 ,,,,,$31.33 ,$33.81 
IP_RX-80000007-ERX323663,INPATIENT,NIRMATRELVIR/RITONAVIR **EGFR 60ML/MIN AND GREATER** 150MG & 100MG TBPK 30 EACH BOX,,,250,$0.01 ,$0.01 ,$0.01 ,$0.01 ,,,$0.01 ,$0.01 ,,,,,,,,,$0.01 ,$0.01 ,,$0.01 ,$0.01 ,,,$0.01 ,,$0.01 ,,,,$0.01 ,$0.01 ,,,,,$0.01 ,$0.01 
IP_RX-80000008-ERX2376,INPATIENT,"BACITRACIN 50,000 UNITS SOLR 1 EACH VIAL",J3490,39822-0277-7,250,$84.00 ,$50.40 ,$68.88 ,$64.68 ,,,$68.88 ,$64.68 ,,,,,,,,,$68.88 ,$64.68 ,,$68.88 ,$64.68 ,,,$63.84 ,,$65.52 ,,,,$68.88 ,$64.68 ,,,,,$63.84 ,$68.88 
IP_RX-80000008-ERX28223,INPATIENT,LABETALOL 5MG/ML SOLN,J3490,,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000008-ERX55000030,INPATIENT,LABETALOL 5MG/ML,J3490,,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000037-ERX11478,INPATIENT,KETAMINE 10MG/ML SOLN 20 ML VIAL,J3490,,250,$90.00 ,$54.00 ,$73.80 ,$69.30 ,,,$73.80 ,$69.30 ,,,,,,,,,$73.80 ,$69.30 ,,$73.80 ,$69.30 ,,,$68.40 ,,$70.20 ,,,,$73.80 ,$69.30 ,,,,,$68.40 ,$73.80 
IP_RX-80000037-ERX11479,INPATIENT,KETAMINE 100MG/ML SOLN 5 ML VIAL,J3490,0409-2051-05,250,$90.00 ,$54.00 ,$73.80 ,$69.30 ,,,$73.80 ,$69.30 ,,,,,,,,,$73.80 ,$69.30 ,,$73.80 ,$69.30 ,,,$68.40 ,,$70.20 ,,,,$73.80 ,$69.30 ,,,,,$68.40 ,$73.80 
IP_RX-80000037-ERX11480,INPATIENT,KETAMINE 50MG/ML SOLN 10 ML VIAL,J3490,67457-001-10,250,$90.00 ,$54.00 ,$73.80 ,$69.30 ,,,$73.80 ,$69.30 ,,,,,,,,,$73.80 ,$69.30 ,,$73.80 ,$69.30 ,,,$68.40 ,,$70.20 ,,,,$73.80 ,$69.30 ,,,,,$68.40 ,$73.80 
IP_RX-80000037-ERX50005996,INPATIENT,KETAMINE 10MG/ML,J3490,,250,$90.00 ,$54.00 ,$73.80 ,$69.30 ,,,$73.80 ,$69.30 ,,,,,,,,,$73.80 ,$69.30 ,,$73.80 ,$69.30 ,,,$68.40 ,,$70.20 ,,,,$73.80 ,$69.30 ,,,,,$68.40 ,$73.80 
IP_RX-80000037-ERX9401,INPATIENT,GLYCOPYRROLATE 0.2MG/ML SOLN,J3490,0517-4601-25,636,$113.75 ,$68.25 ,$93.28 ,$87.59 ,,,$93.28 ,$87.59 ,,,,,,,,,$93.28 ,$87.59 ,,$93.28 ,$87.59 ,,,$86.45 ,,$88.73 ,,,,$93.28 ,$87.59 ,,,,,$86.45 ,$93.28 
IP_RX-81000000-ERX10122,INPATIENT,HYDRALAZINE 10MG TABS,,,250,$15.00 ,$9.00 ,$12.30 ,$11.55 ,,,$12.30 ,$11.55 ,,,,,,,,,$12.30 ,$11.55 ,,$12.30 ,$11.55 ,,,$11.40 ,,$11.70 ,,,,$12.30 ,$11.55 ,,,,,$11.40 ,$12.30 
IP_RX-81000000-ERX10124,INPATIENT,HYDRALAZINE 25MG TABS,,,250,$7.50 ,$4.50 ,$6.15 ,$5.78 ,,,$6.15 ,$5.78 ,,,,,,,,,$6.15 ,$5.78 ,,$6.15 ,$5.78 ,,,$5.70 ,,$5.85 ,,,,$6.15 ,$5.78 ,,,,,$5.70 ,$6.15 
IP_RX-81000000-ERX10190,INPATIENT,HYDROCHLOROTHIAZIDE 25MG TABS,,,250,$15.00 ,$9.00 ,$12.30 ,$11.55 ,,,$12.30 ,$11.55 ,,,,,,,,,$12.30 ,$11.55 ,,$12.30 ,$11.55 ,,,$11.40 ,,$11.70 ,,,,$12.30 ,$11.55 ,,,,,$11.40 ,$12.30 
IP_RX-81000000-ERX10209,INPATIENT,HYDROCORTISONE 1% CREA 28 G TUBE,,,250,$2.00 ,$1.20 ,$1.64 ,$1.54 ,,,$1.64 ,$1.54 ,,,,,,,,,$1.64 ,$1.54 ,,$1.64 ,$1.54 ,,,$1.52 ,,$1.56 ,,,,$1.64 ,$1.54 ,,,,,$1.52 ,$1.64 
