ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Anthem Medi-Cal,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medi-Cal / California Health & Wellness,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Stanford Advantage Medicare Adv_ HMO,Sutter Health Plus HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
APRDRG-005-1,INPATIENT,All Inpatient Services for APRDRG-005-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,772.00 ",,,,,,,,,,,,,"$60,772.00 ","$60,772.00 "
APRDRG-005-2,INPATIENT,All Inpatient Services for APRDRG-005-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$83,549.00 ",,,,,,,,,,,,,"$83,549.00 ","$83,549.00 "
APRDRG-005-3,INPATIENT,All Inpatient Services for APRDRG-005-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$106,317.00 ",,,,,,,,,,,,,"$106,317.00 ","$106,317.00 "
APRDRG-005-4,INPATIENT,All Inpatient Services for APRDRG-005-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$146,579.00 ",,,,,,,,,,,,,"$146,579.00 ","$146,579.00 "
APRDRG-006-1,INPATIENT,All Inpatient Services for APRDRG-006-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$91,327.00 ",,,,,,,,,,,,,"$91,327.00 ","$91,327.00 "
APRDRG-006-2,INPATIENT,All Inpatient Services for APRDRG-006-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$120,498.00 ",,,,,,,,,,,,,"$120,498.00 ","$120,498.00 "
APRDRG-006-3,INPATIENT,All Inpatient Services for APRDRG-006-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$133,839.00 ",,,,,,,,,,,,,"$133,839.00 ","$133,839.00 "
APRDRG-006-4,INPATIENT,All Inpatient Services for APRDRG-006-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$209,589.00 ",,,,,,,,,,,,,"$209,589.00 ","$209,589.00 "
APRDRG-007-1,INPATIENT,All Inpatient Services for APRDRG-007-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$84,011.00 ",,,,,,,,,,,,,"$84,011.00 ","$84,011.00 "
APRDRG-007-2,INPATIENT,All Inpatient Services for APRDRG-007-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$110,988.00 ",,,,,,,,,,,,,"$110,988.00 ","$110,988.00 "
APRDRG-007-3,INPATIENT,All Inpatient Services for APRDRG-007-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$137,876.00 ",,,,,,,,,,,,,"$137,876.00 ","$137,876.00 "
APRDRG-007-4,INPATIENT,All Inpatient Services for APRDRG-007-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$231,551.00 ",,,,,,,,,,,,,"$231,551.00 ","$231,551.00 "
APRDRG-008-1,INPATIENT,All Inpatient Services for APRDRG-008-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,687.00 ",,,,,,,,,,,,,"$48,687.00 ","$48,687.00 "
APRDRG-008-2,INPATIENT,All Inpatient Services for APRDRG-008-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,969.00 ",,,,,,,,,,,,,"$61,969.00 ","$61,969.00 "
APRDRG-008-3,INPATIENT,All Inpatient Services for APRDRG-008-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$76,025.00 ",,,,,,,,,,,,,"$76,025.00 ","$76,025.00 "
APRDRG-008-4,INPATIENT,All Inpatient Services for APRDRG-008-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$124,111.00 ",,,,,,,,,,,,,"$124,111.00 ","$124,111.00 "
APRDRG-009-1,INPATIENT,All Inpatient Services for APRDRG-009-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,331.00 ",,,,,,,,,,,,,"$60,331.00 ","$60,331.00 "
APRDRG-009-2,INPATIENT,All Inpatient Services for APRDRG-009-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,973.00 ",,,,,,,,,,,,,"$75,973.00 ","$75,973.00 "
APRDRG-009-3,INPATIENT,All Inpatient Services for APRDRG-009-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$105,394.00 ",,,,,,,,,,,,,"$105,394.00 ","$105,394.00 "
APRDRG-009-4,INPATIENT,All Inpatient Services for APRDRG-009-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$218,687.00 ",,,,,,,,,,,,,"$218,687.00 ","$218,687.00 "
APRDRG-020-1,INPATIENT,All Inpatient Services for APRDRG-020-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,295.00 ",,,,,,,,,,,,,"$31,295.00 ","$31,295.00 "
APRDRG-020-2,INPATIENT,All Inpatient Services for APRDRG-020-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,917.00 ",,,,,,,,,,,,,"$37,917.00 ","$37,917.00 "
APRDRG-020-3,INPATIENT,All Inpatient Services for APRDRG-020-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,567.00 ",,,,,,,,,,,,,"$50,567.00 ","$50,567.00 "
APRDRG-020-4,INPATIENT,All Inpatient Services for APRDRG-020-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$81,396.00 ",,,,,,,,,,,,,"$81,396.00 ","$81,396.00 "
APRDRG-021-1,INPATIENT,All Inpatient Services for APRDRG-021-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,052.00 ",,,,,,,,,,,,,"$29,052.00 ","$29,052.00 "
APRDRG-021-2,INPATIENT,All Inpatient Services for APRDRG-021-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,985.00 ",,,,,,,,,,,,,"$36,985.00 ","$36,985.00 "
APRDRG-021-3,INPATIENT,All Inpatient Services for APRDRG-021-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,696.00 ",,,,,,,,,,,,,"$55,696.00 ","$55,696.00 "
APRDRG-021-4,INPATIENT,All Inpatient Services for APRDRG-021-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$85,609.00 ",,,,,,,,,,,,,"$85,609.00 ","$85,609.00 "
APRDRG-022-1,INPATIENT,All Inpatient Services for APRDRG-022-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,742.00 ",,,,,,,,,,,,,"$19,742.00 ","$19,742.00 "
APRDRG-022-2,INPATIENT,All Inpatient Services for APRDRG-022-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,363.00 ",,,,,,,,,,,,,"$23,363.00 ","$23,363.00 "
APRDRG-022-3,INPATIENT,All Inpatient Services for APRDRG-022-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,581.00 ",,,,,,,,,,,,,"$33,581.00 ","$33,581.00 "
APRDRG-022-4,INPATIENT,All Inpatient Services for APRDRG-022-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$69,725.00 ",,,,,,,,,,,,,"$69,725.00 ","$69,725.00 "
APRDRG-023-1,INPATIENT,All Inpatient Services for APRDRG-023-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,677.00 ",,,,,,,,,,,,,"$22,677.00 ","$22,677.00 "
APRDRG-023-2,INPATIENT,All Inpatient Services for APRDRG-023-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,912.00 ",,,,,,,,,,,,,"$31,912.00 ","$31,912.00 "
APRDRG-023-3,INPATIENT,All Inpatient Services for APRDRG-023-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,165.00 ",,,,,,,,,,,,,"$54,165.00 ","$54,165.00 "
APRDRG-023-4,INPATIENT,All Inpatient Services for APRDRG-023-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$84,928.00 ",,,,,,,,,,,,,"$84,928.00 ","$84,928.00 "
APRDRG-024-1,INPATIENT,All Inpatient Services for APRDRG-024-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,582.00 ",,,,,,,,,,,,,"$15,582.00 ","$15,582.00 "
APRDRG-024-2,INPATIENT,All Inpatient Services for APRDRG-024-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,604.00 ",,,,,,,,,,,,,"$19,604.00 ","$19,604.00 "
APRDRG-024-3,INPATIENT,All Inpatient Services for APRDRG-024-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,798.00 ",,,,,,,,,,,,,"$34,798.00 ","$34,798.00 "
APRDRG-024-4,INPATIENT,All Inpatient Services for APRDRG-024-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$57,945.00 ",,,,,,,,,,,,,"$57,945.00 ","$57,945.00 "
APRDRG-026-1,INPATIENT,All Inpatient Services for APRDRG-026-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,220.00 ",,,,,,,,,,,,,"$18,220.00 ","$18,220.00 "
APRDRG-026-2,INPATIENT,All Inpatient Services for APRDRG-026-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,886.00 ",,,,,,,,,,,,,"$22,886.00 ","$22,886.00 "
APRDRG-026-3,INPATIENT,All Inpatient Services for APRDRG-026-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,379.00 ",,,,,,,,,,,,,"$35,379.00 ","$35,379.00 "
APRDRG-026-4,INPATIENT,All Inpatient Services for APRDRG-026-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$65,941.00 ",,,,,,,,,,,,,"$65,941.00 ","$65,941.00 "
APRDRG-027-1,INPATIENT,All Inpatient Services for APRDRG-027-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,808.00 ",,,,,,,,,,,,,"$24,808.00 ","$24,808.00 "
APRDRG-027-2,INPATIENT,All Inpatient Services for APRDRG-027-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,719.00 ",,,,,,,,,,,,,"$28,719.00 ","$28,719.00 "
APRDRG-027-3,INPATIENT,All Inpatient Services for APRDRG-027-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,757.00 ",,,,,,,,,,,,,"$43,757.00 ","$43,757.00 "
APRDRG-027-4,INPATIENT,All Inpatient Services for APRDRG-027-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$79,131.00 ",,,,,,,,,,,,,"$79,131.00 ","$79,131.00 "
APRDRG-029-1,INPATIENT,All Inpatient Services for APRDRG-029-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,808.00 ",,,,,,,,,,,,,"$26,808.00 ","$26,808.00 "
APRDRG-029-2,INPATIENT,All Inpatient Services for APRDRG-029-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,808.00 ",,,,,,,,,,,,,"$26,808.00 ","$26,808.00 "
APRDRG-029-3,INPATIENT,All Inpatient Services for APRDRG-029-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,610.00 ",,,,,,,,,,,,,"$36,610.00 ","$36,610.00 "
APRDRG-029-4,INPATIENT,All Inpatient Services for APRDRG-029-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$63,170.00 ",,,,,,,,,,,,,"$63,170.00 ","$63,170.00 "
APRDRG-030-1,INPATIENT,All Inpatient Services for APRDRG-030-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,875.00 ",,,,,,,,,,,,,"$27,875.00 ","$27,875.00 "
APRDRG-030-2,INPATIENT,All Inpatient Services for APRDRG-030-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,890.00 ",,,,,,,,,,,,,"$37,890.00 ","$37,890.00 "
APRDRG-030-3,INPATIENT,All Inpatient Services for APRDRG-030-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$52,878.00 ",,,,,,,,,,,,,"$52,878.00 ","$52,878.00 "
APRDRG-030-4,INPATIENT,All Inpatient Services for APRDRG-030-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$70,021.00 ",,,,,,,,,,,,,"$70,021.00 ","$70,021.00 "
APRDRG-040-1,INPATIENT,All Inpatient Services for APRDRG-040-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,286.00 ",,,,,,,,,,,,,"$13,286.00 ","$13,286.00 "
APRDRG-040-2,INPATIENT,All Inpatient Services for APRDRG-040-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,026.00 ",,,,,,,,,,,,,"$18,026.00 ","$18,026.00 "
APRDRG-040-3,INPATIENT,All Inpatient Services for APRDRG-040-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,231.00 ",,,,,,,,,,,,,"$26,231.00 ","$26,231.00 "
APRDRG-040-4,INPATIENT,All Inpatient Services for APRDRG-040-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,723.00 ",,,,,,,,,,,,,"$41,723.00 ","$41,723.00 "
APRDRG-041-1,INPATIENT,All Inpatient Services for APRDRG-041-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,851.00 ",,,,,,,,,,,,,"$9,851.00 ","$9,851.00 "
APRDRG-041-2,INPATIENT,All Inpatient Services for APRDRG-041-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,687.00 ",,,,,,,,,,,,,"$11,687.00 ","$11,687.00 "
APRDRG-041-3,INPATIENT,All Inpatient Services for APRDRG-041-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,377.00 ",,,,,,,,,,,,,"$15,377.00 ","$15,377.00 "
APRDRG-041-4,INPATIENT,All Inpatient Services for APRDRG-041-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,796.00 ",,,,,,,,,,,,,"$22,796.00 ","$22,796.00 "
APRDRG-042-1,INPATIENT,All Inpatient Services for APRDRG-042-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,695.00 ",,,,,,,,,,,,,"$9,695.00 ","$9,695.00 "
APRDRG-042-2,INPATIENT,All Inpatient Services for APRDRG-042-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,367.00 ",,,,,,,,,,,,,"$12,367.00 ","$12,367.00 "
APRDRG-042-3,INPATIENT,All Inpatient Services for APRDRG-042-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,623.00 ",,,,,,,,,,,,,"$16,623.00 ","$16,623.00 "
APRDRG-042-4,INPATIENT,All Inpatient Services for APRDRG-042-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,667.00 ",,,,,,,,,,,,,"$30,667.00 ","$30,667.00 "
APRDRG-043-1,INPATIENT,All Inpatient Services for APRDRG-043-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,746.00 ",,,,,,,,,,,,,"$11,746.00 ","$11,746.00 "
APRDRG-043-2,INPATIENT,All Inpatient Services for APRDRG-043-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,970.00 ",,,,,,,,,,,,,"$15,970.00 ","$15,970.00 "
APRDRG-043-3,INPATIENT,All Inpatient Services for APRDRG-043-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,138.00 ",,,,,,,,,,,,,"$24,138.00 ","$24,138.00 "
APRDRG-043-4,INPATIENT,All Inpatient Services for APRDRG-043-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,746.00 ",,,,,,,,,,,,,"$47,746.00 ","$47,746.00 "
APRDRG-044-1,INPATIENT,All Inpatient Services for APRDRG-044-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,709.00 ",,,,,,,,,,,,,"$10,709.00 ","$10,709.00 "
APRDRG-044-2,INPATIENT,All Inpatient Services for APRDRG-044-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,799.00 ",,,,,,,,,,,,,"$14,799.00 ","$14,799.00 "
APRDRG-044-3,INPATIENT,All Inpatient Services for APRDRG-044-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,264.00 ",,,,,,,,,,,,,"$19,264.00 ","$19,264.00 "
APRDRG-044-4,INPATIENT,All Inpatient Services for APRDRG-044-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,459.00 ",,,,,,,,,,,,,"$22,459.00 ","$22,459.00 "
APRDRG-045-1,INPATIENT,All Inpatient Services for APRDRG-045-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,588.00 ",,,,,,,,,,,,,"$11,588.00 ","$11,588.00 "
APRDRG-045-2,INPATIENT,All Inpatient Services for APRDRG-045-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,228.00 ",,,,,,,,,,,,,"$14,228.00 ","$14,228.00 "
APRDRG-045-3,INPATIENT,All Inpatient Services for APRDRG-045-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,096.00 ",,,,,,,,,,,,,"$19,096.00 ","$19,096.00 "
APRDRG-045-4,INPATIENT,All Inpatient Services for APRDRG-045-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,500.00 ",,,,,,,,,,,,,"$29,500.00 ","$29,500.00 "
APRDRG-046-1,INPATIENT,All Inpatient Services for APRDRG-046-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,730.00 ",,,,,,,,,,,,,"$9,730.00 ","$9,730.00 "
APRDRG-046-2,INPATIENT,All Inpatient Services for APRDRG-046-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,059.00 ",,,,,,,,,,,,,"$12,059.00 ","$12,059.00 "
APRDRG-046-3,INPATIENT,All Inpatient Services for APRDRG-046-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,398.00 ",,,,,,,,,,,,,"$15,398.00 ","$15,398.00 "
APRDRG-046-4,INPATIENT,All Inpatient Services for APRDRG-046-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,129.00 ",,,,,,,,,,,,,"$28,129.00 ","$28,129.00 "
APRDRG-047-1,INPATIENT,All Inpatient Services for APRDRG-047-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,583.00 ",,,,,,,,,,,,,"$9,583.00 ","$9,583.00 "
APRDRG-047-2,INPATIENT,All Inpatient Services for APRDRG-047-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,878.00 ",,,,,,,,,,,,,"$10,878.00 ","$10,878.00 "
APRDRG-047-3,INPATIENT,All Inpatient Services for APRDRG-047-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,771.00 ",,,,,,,,,,,,,"$13,771.00 ","$13,771.00 "
APRDRG-047-4,INPATIENT,All Inpatient Services for APRDRG-047-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,777.00 ",,,,,,,,,,,,,"$21,777.00 ","$21,777.00 "
APRDRG-048-1,INPATIENT,All Inpatient Services for APRDRG-048-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,882.00 ",,,,,,,,,,,,,"$8,882.00 ","$8,882.00 "
APRDRG-048-2,INPATIENT,All Inpatient Services for APRDRG-048-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,381.00 ",,,,,,,,,,,,,"$10,381.00 ","$10,381.00 "
APRDRG-048-3,INPATIENT,All Inpatient Services for APRDRG-048-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,346.00 ",,,,,,,,,,,,,"$14,346.00 ","$14,346.00 "
APRDRG-048-4,INPATIENT,All Inpatient Services for APRDRG-048-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,417.00 ",,,,,,,,,,,,,"$27,417.00 ","$27,417.00 "
APRDRG-049-1,INPATIENT,All Inpatient Services for APRDRG-049-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,615.00 ",,,,,,,,,,,,,"$13,615.00 ","$13,615.00 "
APRDRG-049-2,INPATIENT,All Inpatient Services for APRDRG-049-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,566.00 ",,,,,,,,,,,,,"$26,566.00 ","$26,566.00 "
APRDRG-049-3,INPATIENT,All Inpatient Services for APRDRG-049-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,476.00 ",,,,,,,,,,,,,"$32,476.00 ","$32,476.00 "
APRDRG-049-4,INPATIENT,All Inpatient Services for APRDRG-049-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,816.00 ",,,,,,,,,,,,,"$51,816.00 ","$51,816.00 "
APRDRG-050-1,INPATIENT,All Inpatient Services for APRDRG-050-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,459.00 ",,,,,,,,,,,,,"$9,459.00 ","$9,459.00 "
APRDRG-050-2,INPATIENT,All Inpatient Services for APRDRG-050-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,974.00 ",,,,,,,,,,,,,"$15,974.00 ","$15,974.00 "
APRDRG-050-3,INPATIENT,All Inpatient Services for APRDRG-050-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,570.00 ",,,,,,,,,,,,,"$25,570.00 ","$25,570.00 "
APRDRG-050-4,INPATIENT,All Inpatient Services for APRDRG-050-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,052.00 ",,,,,,,,,,,,,"$54,052.00 ","$54,052.00 "
APRDRG-051-1,INPATIENT,All Inpatient Services for APRDRG-051-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,080.00 ",,,,,,,,,,,,,"$7,080.00 ","$7,080.00 "
APRDRG-051-2,INPATIENT,All Inpatient Services for APRDRG-051-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,695.00 ",,,,,,,,,,,,,"$10,695.00 ","$10,695.00 "
APRDRG-051-3,INPATIENT,All Inpatient Services for APRDRG-051-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,611.00 ",,,,,,,,,,,,,"$18,611.00 ","$18,611.00 "
APRDRG-051-4,INPATIENT,All Inpatient Services for APRDRG-051-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,837.00 ",,,,,,,,,,,,,"$34,837.00 ","$34,837.00 "
APRDRG-052-1,INPATIENT,All Inpatient Services for APRDRG-052-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,552.00 ",,,,,,,,,,,,,"$8,552.00 ","$8,552.00 "
APRDRG-052-2,INPATIENT,All Inpatient Services for APRDRG-052-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,043.00 ",,,,,,,,,,,,,"$10,043.00 ","$10,043.00 "
APRDRG-052-3,INPATIENT,All Inpatient Services for APRDRG-052-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,059.00 ",,,,,,,,,,,,,"$13,059.00 ","$13,059.00 "
APRDRG-052-4,INPATIENT,All Inpatient Services for APRDRG-052-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,078.00 ",,,,,,,,,,,,,"$26,078.00 ","$26,078.00 "
APRDRG-053-1,INPATIENT,All Inpatient Services for APRDRG-053-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,167.00 ",,,,,,,,,,,,,"$7,167.00 ","$7,167.00 "
APRDRG-053-2,INPATIENT,All Inpatient Services for APRDRG-053-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,190.00 ",,,,,,,,,,,,,"$9,190.00 ","$9,190.00 "
APRDRG-053-3,INPATIENT,All Inpatient Services for APRDRG-053-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,835.00 ",,,,,,,,,,,,,"$11,835.00 ","$11,835.00 "
APRDRG-053-4,INPATIENT,All Inpatient Services for APRDRG-053-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,731.00 ",,,,,,,,,,,,,"$27,731.00 ","$27,731.00 "
APRDRG-054-1,INPATIENT,All Inpatient Services for APRDRG-054-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,132.00 ",,,,,,,,,,,,,"$8,132.00 ","$8,132.00 "
