Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem CalPERS EPO,Anthem HMO/PPO,Anthem Individual,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Partnership Health Plan,Stanford Advantage Medicare Adv_ HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
IP_RX-80000001-ERX23286,INPATIENT,SULFAMETHOXAZOLE/TRIMETHOPRIM 200MG-40MG/5ML SUSP,Z7610,,250,$30.00 ,$24.00 ,$25.80 ,$25.80 ,$25.80 ,,$25.50 ,$25.50 ,$24.60 ,$25.50 ,$25.50 ,,$25.50 ,$25.50 ,$25.50 ,$25.50 ,,$27.90 ,$27.90 ,$27.90 ,$27.00 ,$27.00 ,$27.00 ,,$27.00 ,,$27.00 ,,,$27.00 ,$27.00 ,$27.00 ,,$27.00 ,$27.00 ,$24.60 ,$27.90 
IP_RX-80000001-ERX25057,INPATIENT,"AZTREONAM 1,000MG SOLR",S0073,,250,$226.20 ,$180.96 ,$194.53 ,$194.53 ,$194.53 ,,$192.27 ,$192.27 ,$185.48 ,$192.27 ,$192.27 ,,$192.27 ,$192.27 ,$192.27 ,$192.27 ,,$210.37 ,$210.37 ,$210.37 ,$203.58 ,$203.58 ,$203.58 ,,$203.58 ,,$203.58 ,,,$203.58 ,$203.58 ,$203.58 ,,$203.58 ,$203.58 ,$185.48 ,$210.37 
IP_RX-80000001-ERX25475,INPATIENT,BUMETANIDE 0.25MG/ML SOLN,J3490,0641-6008-10,250,$75.00 ,$60.00 ,$64.50 ,$64.50 ,$64.50 ,,$63.75 ,$63.75 ,$61.50 ,$63.75 ,$63.75 ,,$63.75 ,$63.75 ,$63.75 ,$63.75 ,,$69.75 ,$69.75 ,$69.75 ,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,,$67.50 ,,,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$61.50 ,$69.75 
IP_RX-80000001-ERX26321,INPATIENT,CLINDAMYCIN 600MG/50ML SOLN,S0077,,250,$103.95 ,$83.16 ,$89.40 ,$89.40 ,$89.40 ,,$88.36 ,$88.36 ,$85.24 ,$88.36 ,$88.36 ,,$88.36 ,$88.36 ,$88.36 ,$88.36 ,,$96.67 ,$96.67 ,$96.67 ,$93.56 ,$93.56 ,$93.56 ,,$93.56 ,,$93.56 ,,,$93.56 ,$93.56 ,$93.56 ,,$93.56 ,$93.56 ,$85.24 ,$96.67 
IP_RX-80000001-ERX28787,INPATIENT,MISOPROSTOL 100MCG TABS,S0191,68084-040-01,250,$15.00 ,$12.00 ,$12.90 ,$12.90 ,$12.90 ,,$12.75 ,$12.75 ,$12.30 ,$12.75 ,$12.75 ,,$12.75 ,$12.75 ,$12.75 ,$12.75 ,,$13.95 ,$13.95 ,$13.95 ,$13.50 ,$13.50 ,$13.50 ,,$13.50 ,,$13.50 ,,,$13.50 ,$13.50 ,$13.50 ,,$13.50 ,$13.50 ,$12.30 ,$13.95 
IP_RX-80000001-ERX30271,INPATIENT,PROMETHAZINE 25MG SUPP,Z7610,,250,$70.84 ,$56.67 ,$60.92 ,$60.92 ,$60.92 ,,$60.21 ,$60.21 ,$58.09 ,$60.21 ,$60.21 ,,$60.21 ,$60.21 ,$60.21 ,$60.21 ,,$65.88 ,$65.88 ,$65.88 ,$63.76 ,$63.76 ,$63.76 ,,$63.76 ,,$63.76 ,,,$63.76 ,$63.76 ,$63.76 ,,$63.76 ,$63.76 ,$58.09 ,$65.88 
IP_RX-80000001-ERX324314,INPATIENT,METRONIDAZOLE 500MG/100ML SOLN,J3490,,250,$75.00 ,$60.00 ,$64.50 ,$64.50 ,$64.50 ,,$63.75 ,$63.75 ,$61.50 ,$63.75 ,$63.75 ,,$63.75 ,$63.75 ,$63.75 ,$63.75 ,,$69.75 ,$69.75 ,$69.75 ,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,,$67.50 ,,,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$61.50 ,$69.75 
IP_RX-80000001-ERX3498,INPATIENT,BUPIVACAINE 0.25% SOLN,S0020,0409-1160-01,636,$75.00 ,$60.00 ,$64.50 ,$64.50 ,$64.50 ,,$63.75 ,$63.75 ,$61.50 ,$63.75 ,$63.75 ,,$63.75 ,$63.75 ,$63.75 ,$63.75 ,,$69.75 ,$69.75 ,$69.75 ,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,,$67.50 ,,,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$61.50 ,$69.75 
IP_RX-80000001-ERX3499,INPATIENT,BUPIVACAINE 0.5% SOLN 50 ML VIAL,S0020,0409-1163-01,636,$75.00 ,$60.00 ,$64.50 ,$64.50 ,$64.50 ,,$63.75 ,$63.75 ,$61.50 ,$63.75 ,$63.75 ,,$63.75 ,$63.75 ,$63.75 ,$63.75 ,,$69.75 ,$69.75 ,$69.75 ,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,,$67.50 ,,,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$61.50 ,$69.75 
IP_RX-80000001-ERX50001072,INPATIENT,"AZTREONAM 1,000MG/50ML SOLN",S0073,,250,$281.42 ,$225.14 ,$242.02 ,$242.02 ,$242.02 ,,$239.21 ,$239.21 ,$230.76 ,$239.21 ,$239.21 ,,$239.21 ,$239.21 ,$239.21 ,$239.21 ,,$261.72 ,$261.72 ,$261.72 ,$253.28 ,$253.28 ,$253.28 ,,$253.28 ,,$253.28 ,,,$253.28 ,$253.28 ,$253.28 ,,$253.28 ,$253.28 ,$230.76 ,$261.72 
IP_RX-80000001-ERX50002955,INPATIENT,NOREPINEPHRINE (LEVOPHED) 8MG IN D5W 250ML 32MCG/ML,J3490,,250,$378.63 ,$302.90 ,$325.62 ,$325.62 ,$325.62 ,,$321.84 ,$321.84 ,$310.48 ,$321.84 ,$321.84 ,,$321.84 ,$321.84 ,$321.84 ,$321.84 ,,$352.13 ,$352.13 ,$352.13 ,$340.77 ,$340.77 ,$340.77 ,,$340.77 ,,$340.77 ,,,$340.77 ,$340.77 ,$340.77 ,,$340.77 ,$340.77 ,$310.48 ,$352.13 
IP_RX-80000001-ERX50003087,INPATIENT,MULTIVITAMINS,Z7610,,250,$2.00 ,$1.60 ,$1.72 ,$1.72 ,$1.72 ,,$1.70 ,$1.70 ,$1.64 ,$1.70 ,$1.70 ,,$1.70 ,$1.70 ,$1.70 ,$1.70 ,,$1.86 ,$1.86 ,$1.86 ,$1.80 ,$1.80 ,$1.80 ,,$1.80 ,,$1.80 ,,,$1.80 ,$1.80 ,$1.80 ,,$1.80 ,$1.80 ,$1.64 ,$1.86 
IP_RX-80000001-ERX50003095,INPATIENT,MULTIVITAMINS+MINERALS,Z7610,0904-5492-61,250,$2.00 ,$1.60 ,$1.72 ,$1.72 ,$1.72 ,,$1.70 ,$1.70 ,$1.64 ,$1.70 ,$1.70 ,,$1.70 ,$1.70 ,$1.70 ,$1.70 ,,$1.86 ,$1.86 ,$1.86 ,$1.80 ,$1.80 ,$1.80 ,,$1.80 ,,$1.80 ,,,$1.80 ,$1.80 ,$1.80 ,,$1.80 ,$1.80 ,$1.64 ,$1.86 
IP_RX-80000001-ERX50003262,INPATIENT,ROCURONIUM 10MG/ML SOLN 5 ML VIAL,J3490,0409-9558-05,250,$15.00 ,$12.00 ,$12.90 ,$12.90 ,$12.90 ,,$12.75 ,$12.75 ,$12.30 ,$12.75 ,$12.75 ,,$12.75 ,$12.75 ,$12.75 ,$12.75 ,,$13.95 ,$13.95 ,$13.95 ,$13.50 ,$13.50 ,$13.50 ,,$13.50 ,,$13.50 ,,,$13.50 ,$13.50 ,$13.50 ,,$13.50 ,$13.50 ,$12.30 ,$13.95 
IP_RX-80000001-ERX50004710,INPATIENT,NOREPINEPHRINE 32MCG/ML,J3490,,250,$155.75 ,$124.60 ,$133.95 ,$133.95 ,$133.95 ,,$132.39 ,$132.39 ,$127.72 ,$132.39 ,$132.39 ,,$132.39 ,$132.39 ,$132.39 ,$132.39 ,,$144.85 ,$144.85 ,$144.85 ,$140.18 ,$140.18 ,$140.18 ,,$140.18 ,,$140.18 ,,,$140.18 ,$140.18 ,$140.18 ,,$140.18 ,$140.18 ,$127.72 ,$144.85 
IP_RX-80000001-ERX54056,INPATIENT,OLANZAPINE 10MG SOLR,J3490,,250,$158.27 ,$126.62 ,$136.11 ,$136.11 ,$136.11 ,,$134.53 ,$134.53 ,$129.78 ,$134.53 ,$134.53 ,,$134.53 ,$134.53 ,$134.53 ,$134.53 ,,$147.19 ,$147.19 ,$147.19 ,$142.44 ,$142.44 ,$142.44 ,,$142.44 ,,$142.44 ,,,$142.44 ,$142.44 ,$142.44 ,,$142.44 ,$142.44 ,$129.78 ,$147.19 
IP_RX-80000001-ERX55000024,INPATIENT,FAMOTIDINE 10MG/ML SOLN,S0028,0641-6022-25,636,$75.00 ,$60.00 ,$64.50 ,$64.50 ,$64.50 ,,$63.75 ,$63.75 ,$61.50 ,$63.75 ,$63.75 ,,$63.75 ,$63.75 ,$63.75 ,$63.75 ,,$69.75 ,$69.75 ,$69.75 ,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,,$67.50 ,,,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$61.50 ,$69.75 
IP_RX-80000001-ERX8707,INPATIENT,FOLIC ACID 5MG/ML SOLN 10 ML VIAL,J3490,63323-184-10,250,$75.00 ,$60.00 ,$64.50 ,$64.50 ,$64.50 ,,$63.75 ,$63.75 ,$61.50 ,$63.75 ,$63.75 ,,$63.75 ,$63.75 ,$63.75 ,$63.75 ,,$69.75 ,$69.75 ,$69.75 ,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,,$67.50 ,,,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$61.50 ,$69.75 
IP_RX-80000003-ERX10342,INPATIENT,HYDROXYZINE PAMOATE 25MG CAPS,Q0177,68084-847-01,250,$3.75 ,$3.00 ,$3.23 ,$3.23 ,$3.23 ,,$3.19 ,$3.19 ,$3.08 ,$3.19 ,$3.19 ,,$3.19 ,$3.19 ,$3.19 ,$3.19 ,,$3.49 ,$3.49 ,$3.49 ,$3.38 ,$3.38 ,$3.38 ,,$3.38 ,,$3.38 ,,,$3.38 ,$3.38 ,$3.38 ,,$3.38 ,$3.38 ,$3.08 ,$3.49 
IP_RX-80000003-ERX17782,INPATIENT,PROCHLORPERAZINE 5MG TABS,Z7610,59746-113-06,250,$7.50 ,$6.00 ,$6.45 ,$6.45 ,$6.45 ,,$6.38 ,$6.38 ,$6.15 ,$6.38 ,$6.38 ,,$6.38 ,$6.38 ,$6.38 ,$6.38 ,,$6.98 ,$6.98 ,$6.98 ,$6.75 ,$6.75 ,$6.75 ,,$6.75 ,,$6.75 ,,,$6.75 ,$6.75 ,$6.75 ,,$6.75 ,$6.75 ,$6.15 ,$6.98 
IP_RX-80000003-ERX17891,INPATIENT,PROMETHAZINE 25MG TABS,Q0169,0904-6461-61,250,$7.50 ,$6.00 ,$6.45 ,$6.45 ,$6.45 ,,$6.38 ,$6.38 ,$6.15 ,$6.38 ,$6.38 ,,$6.38 ,$6.38 ,$6.38 ,$6.38 ,,$6.98 ,$6.98 ,$6.98 ,$6.75 ,$6.75 ,$6.75 ,,$6.75 ,,$6.75 ,,,$6.75 ,$6.75 ,$6.75 ,,$6.75 ,$6.75 ,$6.15 ,$6.98 
IP_RX-80000007-ERX50006437,INPATIENT,BARICITINIB 2MG TABS,,,250,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,,$0.01 ,$0.01 ,$0.01 ,$0.01 ,,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,,$0.01 ,,$0.01 ,,,$0.01 ,$0.01 ,$0.01 ,,$0.01 ,$0.01 ,$0.01 ,$0.01 
IP_RX-80000008-ERX55000030,INPATIENT,LABETALOL 5MG/ML,J3490,,250,$75.00 ,$60.00 ,$64.50 ,$64.50 ,$64.50 ,,$63.75 ,$63.75 ,$61.50 ,$63.75 ,$63.75 ,,$63.75 ,$63.75 ,$63.75 ,$63.75 ,,$69.75 ,$69.75 ,$69.75 ,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,,$67.50 ,,,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$61.50 ,$69.75 
IP_RX-80000037-ERX11479,INPATIENT,KETAMINE 100MG/ML SOLN 5 ML VIAL,J3490,,250,$90.00 ,$72.00 ,$77.40 ,$77.40 ,$77.40 ,,$76.50 ,$76.50 ,$73.80 ,$76.50 ,$76.50 ,,$76.50 ,$76.50 ,$76.50 ,$76.50 ,,$83.70 ,$83.70 ,$83.70 ,$81.00 ,$81.00 ,$81.00 ,,$81.00 ,,$81.00 ,,,$81.00 ,$81.00 ,$81.00 ,,$81.00 ,$81.00 ,$73.80 ,$83.70 
IP_RX-80000037-ERX11480,INPATIENT,KETAMINE 50MG/ML SOLN 10 ML VIAL,J3490,67457-001-10,250,$90.00 ,$72.00 ,$77.40 ,$77.40 ,$77.40 ,,$76.50 ,$76.50 ,$73.80 ,$76.50 ,$76.50 ,,$76.50 ,$76.50 ,$76.50 ,$76.50 ,,$83.70 ,$83.70 ,$83.70 ,$81.00 ,$81.00 ,$81.00 ,,$81.00 ,,$81.00 ,,,$81.00 ,$81.00 ,$81.00 ,,$81.00 ,$81.00 ,$73.80 ,$83.70 
IP_RX-80000037-ERX9401,INPATIENT,GLYCOPYRROLATE 0.2MG/ML SOLN,J3490,0517-4601-25,636,$113.75 ,$91.00 ,$97.83 ,$97.83 ,$97.83 ,,$96.69 ,$96.69 ,$93.28 ,$96.69 ,$96.69 ,,$96.69 ,$96.69 ,$96.69 ,$96.69 ,,$105.79 ,$105.79 ,$105.79 ,$102.38 ,$102.38 ,$102.38 ,,$102.38 ,,$102.38 ,,,$102.38 ,$102.38 ,$102.38 ,,$102.38 ,$102.38 ,$93.28 ,$105.79 
IP_RX-81000000-ERX10122,INPATIENT,HYDRALAZINE 10MG TABS,,,250,$7.50 ,$6.00 ,$6.45 ,$6.45 ,$6.45 ,,$6.38 ,$6.38 ,$6.15 ,$6.38 ,$6.38 ,,$6.38 ,$6.38 ,$6.38 ,$6.38 ,,$6.98 ,$6.98 ,$6.98 ,$6.75 ,$6.75 ,$6.75 ,,$6.75 ,,$6.75 ,,,$6.75 ,$6.75 ,$6.75 ,,$6.75 ,$6.75 ,$6.15 ,$6.98 
IP_RX-81000000-ERX10124,INPATIENT,HYDRALAZINE 25MG TABS,,,250,$7.50 ,$6.00 ,$6.45 ,$6.45 ,$6.45 ,,$6.38 ,$6.38 ,$6.15 ,$6.38 ,$6.38 ,,$6.38 ,$6.38 ,$6.38 ,$6.38 ,,$6.98 ,$6.98 ,$6.98 ,$6.75 ,$6.75 ,$6.75 ,,$6.75 ,,$6.75 ,,,$6.75 ,$6.75 ,$6.75 ,,$6.75 ,$6.75 ,$6.15 ,$6.98 
IP_RX-81000000-ERX10190,INPATIENT,HYDROCHLOROTHIAZIDE 25MG TABS,,,250,$15.00 ,$12.00 ,$12.90 ,$12.90 ,$12.90 ,,$12.75 ,$12.75 ,$12.30 ,$12.75 ,$12.75 ,,$12.75 ,$12.75 ,$12.75 ,$12.75 ,,$13.95 ,$13.95 ,$13.95 ,$13.50 ,$13.50 ,$13.50 ,,$13.50 ,,$13.50 ,,,$13.50 ,$13.50 ,$13.50 ,,$13.50 ,$13.50 ,$12.30 ,$13.95 
IP_RX-81000000-ERX10209,INPATIENT,HYDROCORTISONE 1% CREA 28 G TUBE,,,250,$2.00 ,$1.60 ,$1.72 ,$1.72 ,$1.72 ,,$1.70 ,$1.70 ,$1.64 ,$1.70 ,$1.70 ,,$1.70 ,$1.70 ,$1.70 ,$1.70 ,,$1.86 ,$1.86 ,$1.86 ,$1.80 ,$1.80 ,$1.80 ,,$1.80 ,,$1.80 ,,,$1.80 ,$1.80 ,$1.80 ,,$1.80 ,$1.80 ,$1.64 ,$1.86 
IP_RX-81000000-ERX10216,INPATIENT,HYDROCORTISONE 1% OINT 28 G TUBE,,,250,$2.00 ,$1.60 ,$1.72 ,$1.72 ,$1.72 ,,$1.70 ,$1.70 ,$1.64 ,$1.70 ,$1.70 ,,$1.70 ,$1.70 ,$1.70 ,$1.70 ,,$1.86 ,$1.86 ,$1.86 ,$1.80 ,$1.80 ,$1.80 ,,$1.80 ,,$1.80 ,,,$1.80 ,$1.80 ,$1.80 ,,$1.80 ,$1.80 ,$1.64 ,$1.86 
IP_RX-81000000-ERX10221,INPATIENT,HYDROCORTISONE 20MG TABS,,,250,$15.00 ,$12.00 ,$12.90 ,$12.90 ,$12.90 ,,$12.75 ,$12.75 ,$12.30 ,$12.75 ,$12.75 ,,$12.75 ,$12.75 ,$12.75 ,$12.75 ,,$13.95 ,$13.95 ,$13.95 ,$13.50 ,$13.50 ,$13.50 ,,$13.50 ,,$13.50 ,,,$13.50 ,$13.50 ,$13.50 ,,$13.50 ,$13.50 ,$12.30 ,$13.95 
IP_RX-81000000-ERX10231,INPATIENT,HYDROCORTISONE 25MG SUPP,,,250,$90.59 ,$72.47 ,$77.91 ,$77.91 ,$77.91 ,,$77.00 ,$77.00 ,$74.28 ,$77.00 ,$77.00 ,,$77.00 ,$77.00 ,$77.00 ,$77.00 ,,$84.25 ,$84.25 ,$84.25 ,$81.53 ,$81.53 ,$81.53 ,,$81.53 ,,$81.53 ,,,$81.53 ,$81.53 ,$81.53 ,,$81.53 ,$81.53 ,$74.28 ,$84.25 
IP_RX-81000000-ERX10275,INPATIENT,HYDROMORPHONE 2MG TABS,,,250,$40.00 ,$32.00 ,$34.40 ,$34.40 ,$34.40 ,,$34.00 ,$34.00 ,$32.80 ,$34.00 ,$34.00 ,,$34.00 ,$34.00 ,$34.00 ,$34.00 ,,$37.20 ,$37.20 ,$37.20 ,$36.00 ,$36.00 ,$36.00 ,,$36.00 ,,$36.00 ,,,$36.00 ,$36.00 ,$36.00 ,,$36.00 ,$36.00 ,$32.80 ,$37.20 
IP_RX-81000000-ERX10336,INPATIENT,HYDROXYZINE HCL 10MG TABS,,,250,$5.00 ,$4.00 ,$4.30 ,$4.30 ,$4.30 ,,$4.25 ,$4.25 ,$4.10 ,$4.25 ,$4.25 ,,$4.25 ,$4.25 ,$4.25 ,$4.25 ,,$4.65 ,$4.65 ,$4.65 ,$4.50 ,$4.50 ,$4.50 ,,$4.50 ,,$4.50 ,,,$4.50 ,$4.50 ,$4.50 ,,$4.50 ,$4.50 ,$4.10 ,$4.65 
IP_RX-81000000-ERX10366,INPATIENT,HYOSCYAMINE 0.125MG TABS,,,250,$10.09 ,$8.07 ,$8.68 ,$8.68 ,$8.68 ,,$8.58 ,$8.58 ,$8.27 ,$8.58 ,$8.58 ,,$8.58 ,$8.58 ,$8.58 ,$8.58 ,,$9.38 ,$9.38 ,$9.38 ,$9.08 ,$9.08 ,$9.08 ,,$9.08 ,,$9.08 ,,,$9.08 ,$9.08 ,$9.08 ,,$9.08 ,$9.08 ,$8.27 ,$9.38 
IP_RX-81000000-ERX10516,INPATIENT,IBUPROFEN 200MG TABS,,,250,$10.07 ,$8.06 ,$8.66 ,$8.66 ,$8.66 ,,$8.56 ,$8.56 ,$8.26 ,$8.56 ,$8.56 ,,$8.56 ,$8.56 ,$8.56 ,$8.56 ,,$9.37 ,$9.37 ,$9.37 ,$9.06 ,$9.06 ,$9.06 ,,$9.06 ,,$9.06 ,,,$9.06 ,$9.06 ,$9.06 ,,$9.06 ,$9.06 ,$8.26 ,$9.37 
IP_RX-81000000-ERX10518,INPATIENT,IBUPROFEN 400MG TABS,,,250,$10.08 ,$8.06 ,$8.67 ,$8.67 ,$8.67 ,,$8.57 ,$8.57 ,$8.27 ,$8.57 ,$8.57 ,,$8.57 ,$8.57 ,$8.57 ,$8.57 ,,$9.37 ,$9.37 ,$9.37 ,$9.07 ,$9.07 ,$9.07 ,,$9.07 ,,$9.07 ,,,$9.07 ,$9.07 ,$9.07 ,,$9.07 ,$9.07 ,$8.27 ,$9.37 
