Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Central California Alliance for Health,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Stanford Advantage Medicare Adv_ HMO,Sutter Health Plus HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
IP_EATING_CHILD,INPATIENT,Per Day Rate for Eating Disorders – Child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,189.00 ",,"$3,189.00 ","$2,334.00 ","$2,334.00 ","$3,189.00 "
IP_GENDER,INPATIENT,Rate for all Inpatient services for Gender Reassignment procedures,,,,,,,,"$35,741.00 ",,,,"$36,402.00 ","$27,666.00 ",,"$48,159.00 ","$48,159.00 ","$41,877.00 ","$32,245.00 ",,,,,"$40,094.00 ",,,"$37,487.00 ",,,,,,"$51,135.38 ",,,"$52,253.00 ",,"$52,253.00 ","$54,056.00 ","$27,666.00 ","$54,056.00 "
IP_ICU,INPATIENT,Per Day Rate for all Inpatient services where stay is at ICU bed,,,,,,,,"$17,944.00 ",,,,"$18,290.00 ","$13,900.00 ",,"$23,371.00 ","$23,371.00 ","$20,323.00 ","$15,649.00 ",,,,,"$23,814.00 ",,,"$18,789.00 ",,,,,,"$13,067.61 ",,,"$18,578.00 ",,"$18,578.00 ","$13,599.00 ","$13,067.61 ","$23,814.00 "
IP_MEDSURG,INPATIENT,Per Day Rate for all Inpatient services where stay is at Medical Surgical bed,,,,,,,,"$7,286.00 ",,,,"$7,393.00 ","$5,618.00 ",,"$9,375.00 ","$9,375.00 ","$8,152.00 ","$6,277.00 ",,"$2,437.00 ",,,"$9,640.00 ",,,"$7,595.00 ",,,,,,"$5,227.25 ",,,"$7,455.00 ",,"$7,455.00 ","$5,456.00 ","$2,437.00 ","$9,640.00 "
IP_NEWBORN,INPATIENT,Per Day Rate for all Inpatient services for Newborn when not included in Delivery rate,,,,,,,,"$2,326.00 ",,,,"$2,071.00 ","$1,574.00 ",,"$2,832.00 ","$2,832.00 ","$2,463.00 ","$1,897.00 ",,"$1,261.00 ",,,"$2,955.00 ",,,"$2,324.00 ",,,,,,"$1,696.41 ",,,"$2,265.00 ",,"$2,265.00 ","$1,658.00 ","$1,261.00 ","$2,955.00 "
IP_NICU_II,INPATIENT,Per Day Rate for all Inpatient services where stay is at NICU Level II,,,,,,,,"$8,516.00 ",,,,"$8,086.00 ","$6,146.00 ",,"$9,881.00 ","$9,881.00 ","$8,592.00 ","$6,616.00 ",,,,,"$10,110.00 ",,,"$8,719.00 ",,,,,,"$6,109.96 ",,,"$8,424.00 ",,"$8,424.00 ","$6,162.00 ","$6,109.96 ","$10,110.00 "
IP_NICU_III,INPATIENT,Per Day Rate for all Inpatient services where stay is at NICU Level III,,,,,,,,"$12,325.00 ",,,,"$11,658.00 ","$8,860.00 ",,"$14,272.00 ","$14,272.00 ","$12,410.00 ","$9,555.00 ",,,,,"$14,589.00 ",,,"$12,592.00 ",,,,,,"$8,825.04 ",,,"$11,699.00 ",,"$11,699.00 ","$8,903.00 ","$8,825.04 ","$14,589.00 "
IP_NICU_IV,INPATIENT,Per Day Rate for all Inpatient services where stay is at NICU Level IV,,,,,,,,"$28,641.00 ",,,,"$26,985.00 ","$20,509.00 ",,"$33,152.00 ","$33,152.00 ","$28,828.00 ","$22,198.00 ",,,,,"$33,875.00 ",,,"$29,444.00 ",,,,,,"$20,478.46 ",,,"$27,190.00 ",,"$27,190.00 ","$20,676.00 ","$20,478.46 ","$33,875.00 "
IP_PD_BURN,INPATIENT,Per Day Rate for all Inpatient services for where stay is in a Burn Care bed,,,,,,,,"$17,944.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,944.00 ","$17,944.00 "
IP_PD_MATERNITY,INPATIENT,Per Day Rate for all Inpatient Maternity Services,,,,,,,,,,,,,,,,,,,,"$2,802.00 ",,,,,,,,,,,,,,,,,,,"$2,802.00 ","$2,802.00 "
IP_PD_SNF,INPATIENT,Per Day Rate for all Inpatient skilled nursing or sub acute services,,,,,,,,"$2,664.00 ",,,,"$2,818.00 ","$2,141.00 ",,"$3,125.00 ","$3,125.00 ","$2,717.00 ","$2,092.00 ",,,,,"$3,156.00 ",,,"$2,857.00 ",,,,,,"$1,980.69 ",,,"$3,070.00 ",,"$3,070.00 ","$2,253.00 ","$1,980.69 ","$3,156.00 "
IP_PSYCH,INPATIENT,Per Day Rate for all Inpatient services for where stay is in a psychiatric bed,,,,,,,,"$3,144.00 ",,,,"$2,960.00 ","$2,250.00 ",,"$3,700.00 ","$3,700.00 ","$3,217.00 ","$2,477.00 ",,,,,,,,,,,,,,"$2,928.29 ",,,"$3,672.00 ",,"$3,672.00 ","$2,688.00 ","$2,250.00 ","$3,700.00 "
IP_RES_REHAB,INPATIENT,Per Day Rate for all Inpatient services for where stay is in a residential rehab bed,,,,,,,,"$3,144.00 ",,,,"$2,514.00 ","$1,910.00 ",,"$3,474.00 ","$3,474.00 ","$3,021.00 ","$2,327.00 ",,,,,,,,,,,,,,,,,,,,,"$1,910.00 ","$3,474.00 "
IP_RX-80000001-ERX128032,INPATIENT,BUPIVACAINE PF 0.25% SOLN,S0020,,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX128033,INPATIENT,BUPIVACAINE PF 0.5% SOLN 30 ML VIAL,S0020,0409-1162-02,636,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX13463,INPATIENT,METRONIDAZOLE 500MG/100ML SOLN,S0030,0409-7811-24,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX153844,INPATIENT,BUPIVACAINE PF 0.75% SOLN,S0020,0409-1165-01,636,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX17369,INPATIENT,BUPIVACAINE PF 7.5MG/ML SOLN,J3490,0409-3613-01,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX26321,INPATIENT,CLINDAMYCIN 600MG/50ML SOLN,S0077,,636,$51.98 ,$31.19 ,$42.62 ,$40.02 ,,,$42.62 ,$40.02 ,,,,,,,,,,$42.62 ,$40.02 ,,$42.62 ,$40.02 ,,,$39.50 ,,$40.54 ,,,$42.62 ,$40.02 ,,,,,$39.50 ,$42.62 
IP_RX-80000001-ERX28787,INPATIENT,MISOPROSTOL 100MCG TABS,S0191,68084-040-01,250,$9.07 ,$5.44 ,$7.44 ,$6.98 ,,,$7.44 ,$6.98 ,,,,,,,,,,$7.44 ,$6.98 ,,$7.44 ,$6.98 ,,,$6.89 ,,$7.07 ,,,$7.44 ,$6.98 ,,,,,$6.89 ,$7.44 
IP_RX-80000001-ERX28788,INPATIENT,MISOPROSTOL 200MCG TABS,S0191,68084-041-01,250,$6.60 ,$3.96 ,$5.41 ,$5.08 ,,,$5.41 ,$5.08 ,,,,,,,,,,$5.41 ,$5.08 ,,$5.41 ,$5.08 ,,,$5.02 ,,$5.15 ,,,$5.41 ,$5.08 ,,,,,$5.02 ,$5.41 
IP_RX-80000001-ERX30248,INPATIENT,PROCHLORPERAZINE 25MG SUPP,J3490,,250,$34.60 ,$20.76 ,$28.37 ,$26.64 ,,,$28.37 ,$26.64 ,,,,,,,,,,$28.37 ,$26.64 ,,$28.37 ,$26.64 ,,,$26.30 ,,$26.99 ,,,$28.37 ,$26.64 ,,,,,$26.30 ,$28.37 
IP_RX-80000001-ERX30271,INPATIENT,PROMETHAZINE 25MG SUPP,Z7610,0591-2992-39,250,$70.84 ,$42.50 ,$58.09 ,$54.55 ,,,$58.09 ,$54.55 ,,,,,,,,,,$58.09 ,$54.55 ,,$58.09 ,$54.55 ,,,$53.84 ,,$55.26 ,,,$58.09 ,$54.55 ,,,,,$53.84 ,$58.09 
IP_RX-80000001-ERX324314,INPATIENT,METRONIDAZOLE 500MG/100ML SOLN,J3490,,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX3498,INPATIENT,BUPIVACAINE 0.25% SOLN,S0020,0409-1160-01,636,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX3499,INPATIENT,BUPIVACAINE 0.5% SOLN 50 ML VIAL,S0020,0409-1163-01,636,$37.50 ,$22.50 ,$30.75 ,$28.88 ,,,$30.75 ,$28.88 ,,,,,,,,,,$30.75 ,$28.88 ,,$30.75 ,$28.88 ,,,$28.50 ,,$29.25 ,,,$30.75 ,$28.88 ,,,,,$28.50 ,$30.75 
IP_RX-80000001-ERX50001678,INPATIENT,MISOPROSTOL 25MCG TABS,S0191,59762-5007-1,250,$15.00 ,$9.00 ,$12.30 ,$11.55 ,,,$12.30 ,$11.55 ,,,,,,,,,,$12.30 ,$11.55 ,,$12.30 ,$11.55 ,,,$11.40 ,,$11.70 ,,,$12.30 ,$11.55 ,,,,,$11.40 ,$12.30 
IP_RX-80000001-ERX50003095,INPATIENT,MULTIVITAMINS+MINERALS,Z7610,0904-5492-61,250,$2.00 ,$1.20 ,$1.64 ,$1.54 ,,,$1.64 ,$1.54 ,,,,,,,,,,$1.64 ,$1.54 ,,$1.64 ,$1.54 ,,,$1.52 ,,$1.56 ,,,$1.64 ,$1.54 ,,,,,$1.52 ,$1.64 
IP_RX-80000001-ERX50003192,INPATIENT,MISOPROSTOL 50MCG TABS,S0191,59762-5007-1,636,$15.00 ,$9.00 ,$12.30 ,$11.55 ,,,$12.30 ,$11.55 ,,,,,,,,,,$12.30 ,$11.55 ,,$12.30 ,$11.55 ,,,$11.40 ,,$11.70 ,,,$12.30 ,$11.55 ,,,,,$11.40 ,$12.30 
IP_RX-80000001-ERX55000024,INPATIENT,FAMOTIDINE 10MG/ML SOLN,S0028,0641-6022-25,636,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000001-ERX87000013,INPATIENT,BUPIVACAINE PF 0.125%,S0020,,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000003-ERX10342,INPATIENT,HYDROXYZINE PAMOATE 25MG CAPS,Q0177,68084-847-01,250,$15.00 ,$9.00 ,$12.30 ,$11.55 ,,,$12.30 ,$11.55 ,,,,,,,,,,$12.30 ,$11.55 ,,$12.30 ,$11.55 ,,,$11.40 ,,$11.70 ,,,$12.30 ,$11.55 ,,,,,$11.40 ,$12.30 
IP_RX-80000003-ERX17891,INPATIENT,PROMETHAZINE 25MG TABS,Q0169,0904-6461-61,250,$15.00 ,$9.00 ,$12.30 ,$11.55 ,,,$12.30 ,$11.55 ,,,,,,,,,,$12.30 ,$11.55 ,,$12.30 ,$11.55 ,,,$11.40 ,,$11.70 ,,,$12.30 ,$11.55 ,,,,,$11.40 ,$12.30 
IP_RX-80000008-ERX55000030,INPATIENT,LABETALOL 5MG/ML,J3490,,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-80000037-ERX11480,INPATIENT,KETAMINE 50MG/ML SOLN 10 ML VIAL,J3490,67457-001-10,250,$90.00 ,$54.00 ,$73.80 ,$69.30 ,,,$73.80 ,$69.30 ,,,,,,,,,,$73.80 ,$69.30 ,,$73.80 ,$69.30 ,,,$68.40 ,,$70.20 ,,,$73.80 ,$69.30 ,,,,,$68.40 ,$73.80 
IP_RX-80000037-ERX92678,INPATIENT,TRYPAN BLUE 0.06% SOLN,J3490,68803-612-10,636,$251.28 ,$150.77 ,$206.05 ,$193.49 ,,,$206.05 ,$193.49 ,,,,,,,,,,$206.05 ,$193.49 ,,$206.05 ,$193.49 ,,,$190.97 ,,$196.00 ,,,$206.05 ,$193.49 ,,,,,$190.97 ,$206.05 
IP_RX-81000000-ERX10124,INPATIENT,HYDRALAZINE 25MG TABS,,,250,$15.00 ,$9.00 ,$12.30 ,$11.55 ,,,$12.30 ,$11.55 ,,,,,,,,,,$12.30 ,$11.55 ,,$12.30 ,$11.55 ,,,$11.40 ,,$11.70 ,,,$12.30 ,$11.55 ,,,,,$11.40 ,$12.30 
IP_RX-81000000-ERX10209,INPATIENT,HYDROCORTISONE 1% CREA 28 G TUBE,,,250,$2.00 ,$1.20 ,$1.64 ,$1.54 ,,,$1.64 ,$1.54 ,,,,,,,,,,$1.64 ,$1.54 ,,$1.64 ,$1.54 ,,,$1.52 ,,$1.56 ,,,$1.64 ,$1.54 ,,,,,$1.52 ,$1.64 
IP_RX-81000000-ERX10231,INPATIENT,HYDROCORTISONE 25MG SUPP,,,250,$90.67 ,$54.40 ,$74.35 ,$69.82 ,,,$74.35 ,$69.82 ,,,,,,,,,,$74.35 ,$69.82 ,,$74.35 ,$69.82 ,,,$68.91 ,,$70.72 ,,,$74.35 ,$69.82 ,,,,,$68.91 ,$74.35 
IP_RX-81000000-ERX10275,INPATIENT,HYDROMORPHONE 2MG TABS,,,250,$20.00 ,$12.00 ,$16.40 ,$15.40 ,,,$16.40 ,$15.40 ,,,,,,,,,,$16.40 ,$15.40 ,,$16.40 ,$15.40 ,,,$15.20 ,,$15.60 ,,,$16.40 ,$15.40 ,,,,,$15.20 ,$16.40 
IP_RX-81000000-ERX10336,INPATIENT,HYDROXYZINE HCL 10MG TABS,,,250,$5.00 ,$3.00 ,$4.10 ,$3.85 ,,,$4.10 ,$3.85 ,,,,,,,,,,$4.10 ,$3.85 ,,$4.10 ,$3.85 ,,,$3.80 ,,$3.90 ,,,$4.10 ,$3.85 ,,,,,$3.80 ,$4.10 
IP_RX-81000000-ERX10829,INPATIENT,IODINE/POTASSIUM IODIDE 5%/10% SOLN,,,250,$2.00 ,$1.20 ,$1.64 ,$1.54 ,,,$1.64 ,$1.54 ,,,,,,,,,,$1.64 ,$1.54 ,,$1.64 ,$1.54 ,,,$1.52 ,,$1.56 ,,,$1.64 ,$1.54 ,,,,,$1.52 ,$1.64 
IP_RX-81000000-ERX10946,INPATIENT,PHENYLEPHRINE 10% SOLN 5 ML BOTTLE,,,250,$250.00 ,$150.00 ,$205.00 ,$192.50 ,,,$205.00 ,$192.50 ,,,,,,,,,,$205.00 ,$192.50 ,,$205.00 ,$192.50 ,,,$190.00 ,,$195.00 ,,,$205.00 ,$192.50 ,,,,,$190.00 ,$205.00 
IP_RX-81000000-ERX10947,INPATIENT,PHENYLEPHRINE 2.5% SOLN 2 ML BOTTLE,,,250,$203.15 ,$121.89 ,$166.58 ,$156.43 ,,,$166.58 ,$156.43 ,,,,,,,,,,$166.58 ,$156.43 ,,$166.58 ,$156.43 ,,,$154.39 ,,$158.46 ,,,$166.58 ,$156.43 ,,,,,$154.39 ,$166.58 
IP_RX-81000000-ERX11013,INPATIENT,TETRACAINE 0.5% SOLN 4 ML PLAS CONT,,,250,$69.90 ,$41.94 ,$57.32 ,$53.82 ,,,$57.32 ,$53.82 ,,,,,,,,,,$57.32 ,$53.82 ,,$57.32 ,$53.82 ,,,$53.12 ,,$54.52 ,,,$57.32 ,$53.82 ,,,,,$53.12 ,$57.32 
IP_RX-81000000-ERX11023,INPATIENT,TRIAMCINOLONE 0.1% CREA 15 G TUBE,,,250,$37.93 ,$22.76 ,$31.10 ,$29.21 ,,,$31.10 ,$29.21 ,,,,,,,,,,$31.10 ,$29.21 ,,$31.10 ,$29.21 ,,,$28.83 ,,$29.59 ,,,$31.10 ,$29.21 ,,,,,$28.83 ,$31.10 
IP_RX-81000000-ERX11135,INPATIENT,VITAMIN A & D OINT 5 G PACKET,,,250,$2.00 ,$1.20 ,$1.64 ,$1.54 ,,,$1.64 ,$1.54 ,,,,,,,,,,$1.64 ,$1.54 ,,$1.64 ,$1.54 ,,,$1.52 ,,$1.56 ,,,$1.64 ,$1.54 ,,,,,$1.52 ,$1.64 
IP_RX-81000000-ERX11242,INPATIENT,BENZOCAINE 20% SOLN,,,250,$2.00 ,$1.20 ,$1.64 ,$1.54 ,,,$1.64 ,$1.54 ,,,,,,,,,,$1.64 ,$1.54 ,,$1.64 ,$1.54 ,,,$1.52 ,,$1.56 ,,,$1.64 ,$1.54 ,,,,,$1.52 ,$1.64 
IP_RX-81000000-ERX1127,INPATIENT,AMITRIPTYLINE 10MG TABS,,,250,$15.00 ,$9.00 ,$12.30 ,$11.55 ,,,$12.30 ,$11.55 ,,,,,,,,,,$12.30 ,$11.55 ,,$12.30 ,$11.55 ,,,$11.40 ,,$11.70 ,,,$12.30 ,$11.55 ,,,,,$11.40 ,$12.30 
IP_RX-81000000-ERX1136,INPATIENT,AMMONIA INHA 10 EACH PACKAGE,,,250,$2.00 ,$1.20 ,$1.64 ,$1.54 ,,,$1.64 ,$1.54 ,,,,,,,,,,$1.64 ,$1.54 ,,$1.64 ,$1.54 ,,,$1.52 ,,$1.56 ,,,$1.64 ,$1.54 ,,,,,$1.52 ,$1.64 
IP_RX-81000000-ERX11472,INPATIENT,OFLOXACIN 0.3% SOLN 5 ML BOTTLE,,,250,$104.70 ,$62.82 ,$85.85 ,$80.62 ,,,$85.85 ,$80.62 ,,,,,,,,,,$85.85 ,$80.62 ,,$85.85 ,$80.62 ,,,$79.57 ,,$81.67 ,,,$85.85 ,$80.62 ,,,,,$79.57 ,$85.85 
IP_RX-81000000-ERX11480,INPATIENT,KETAMINE 50MG/ML SOLN 10 ML VIAL,J3490,,250,$90.00 ,$54.00 ,$73.80 ,$69.30 ,,,$73.80 ,$69.30 ,,,,,,,,,,$73.80 ,$69.30 ,,$73.80 ,$69.30 ,,,$68.40 ,,$70.20 ,,,$73.80 ,$69.30 ,,,,,$68.40 ,$73.80 
IP_RX-81000000-ERX115474,INPATIENT,METOPROLOL 5MG/5ML SOLN,J3490,,250,$75.00 ,$45.00 ,$61.50 ,$57.75 ,,,$61.50 ,$57.75 ,,,,,,,,,,$61.50 ,$57.75 ,,$61.50 ,$57.75 ,,,$57.00 ,,$58.50 ,,,$61.50 ,$57.75 ,,,,,$57.00 ,$61.50 
IP_RX-81000000-ERX11603,INPATIENT,TIMOLOL MALEATE 0.5% SOLN 5 ML BOTTLE,,,250,$85.00 ,$51.00 ,$69.70 ,$65.45 ,,,$69.70 ,$65.45 ,,,,,,,,,,$69.70 ,$65.45 ,,$69.70 ,$65.45 ,,,$64.60 ,,$66.30 ,,,$69.70 ,$65.45 ,,,,,$64.60 ,$69.70 
IP_RX-81000000-ERX118035,INPATIENT,BENZOCAINE/MENTHOL 15MG/3.6MG LOZG,,,250,$2.00 ,$1.20 ,$1.64 ,$1.54 ,,,$1.64 ,$1.54 ,,,,,,,,,,$1.64 ,$1.54 ,,$1.64 ,$1.54 ,,,$1.52 ,,$1.56 ,,,$1.64 ,$1.54 ,,,,,$1.52 ,$1.64 
IP_RX-81000000-ERX11998,INPATIENT,LEVOTHYROXINE 25MCG TABS,,,250,$15.00 ,$9.00 ,$12.30 ,$11.55 ,,,$12.30 ,$11.55 ,,,,,,,,,,$12.30 ,$11.55 ,,$12.30 ,$11.55 ,,,$11.40 ,,$11.70 ,,,$12.30 ,$11.55 ,,,,,$11.40 ,$12.30 
IP_RX-81000000-ERX11999,INPATIENT,LEVOTHYROXINE 50MCG TABS,,,250,$15.00 ,$9.00 ,$12.30 ,$11.55 ,,,$12.30 ,$11.55 ,,,,,,,,,,$12.30 ,$11.55 ,,$12.30 ,$11.55 ,,,$11.40 ,,$11.70 ,,,$12.30 ,$11.55 ,,,,,$11.40 ,$12.30 
