Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,HealthSmart PPO,Multiplan PPO,Partnership Health Plan,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
IP_RX-80000001-ERX25058,INPATIENT,"AZTREONAM 2,000MG SOLR",J3490,,250,$571.82 ,$457.46 ,$463.17 ,$463.17 ,$463.17 ,$457.46 ,$457.46 ,$457.46 ,$457.46 ,$457.46 ,$457.46 ,$457.46 ,$457.46 ,$514.64 ,$514.64 ,$514.64 ,$486.05 ,$486.05 ,$486.05 ,$514.64 ,$514.64 ,,$514.64 ,$514.64 ,$514.64 ,$514.64 ,$514.64 ,$457.46 ,$514.64 
IP_RX-80000001-ERX25475,INPATIENT,BUMETANIDE 0.25MG/ML SOLN,J3490,0641-6008-10,250,$37.50 ,$30.00 ,$30.38 ,$30.38 ,$30.38 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$33.75 ,$33.75 ,$33.75 ,$31.88 ,$31.88 ,$31.88 ,$33.75 ,$33.75 ,,$33.75 ,$33.75 ,$33.75 ,$33.75 ,$33.75 ,$30.00 ,$33.75 
IP_RX-80000001-ERX26321,INPATIENT,CLINDAMYCIN 600MG/50ML SOLN,S0077,,250,$103.95 ,$83.16 ,$84.20 ,$84.20 ,$84.20 ,$83.16 ,$83.16 ,$83.16 ,$83.16 ,$83.16 ,$83.16 ,$83.16 ,$83.16 ,$93.56 ,$93.56 ,$93.56 ,$88.36 ,$88.36 ,$88.36 ,$93.56 ,$93.56 ,,$93.56 ,$93.56 ,$93.56 ,$93.56 ,$93.56 ,$83.16 ,$93.56 
IP_RX-80000001-ERX28787,INPATIENT,MISOPROSTOL 100MCG TABS,S0191,68084-040-01,250,$15.00 ,$12.00 ,$12.15 ,$12.15 ,$12.15 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$13.50 ,$13.50 ,$13.50 ,$12.75 ,$12.75 ,$12.75 ,$13.50 ,$13.50 ,,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$12.00 ,$13.50 
IP_RX-80000001-ERX300570,INPATIENT,NOREPINEPHRINE 32MCG/ML SOLN,J3490,,250,$263.25 ,$210.60 ,$213.23 ,$213.23 ,$213.23 ,$210.60 ,$210.60 ,$210.60 ,$210.60 ,$210.60 ,$210.60 ,$210.60 ,$210.60 ,$236.93 ,$236.93 ,$236.93 ,$223.76 ,$223.76 ,$223.76 ,$236.93 ,$236.93 ,,$236.93 ,$236.93 ,$236.93 ,$236.93 ,$236.93 ,$210.60 ,$236.93 
IP_RX-80000001-ERX30270,INPATIENT,PROMETHAZINE 12.5MG SUPP,J3490,,250,$70.82 ,$56.66 ,$57.36 ,$57.36 ,$57.36 ,$56.66 ,$56.66 ,$56.66 ,$56.66 ,$56.66 ,$56.66 ,$56.66 ,$56.66 ,$63.74 ,$63.74 ,$63.74 ,$60.20 ,$60.20 ,$60.20 ,$63.74 ,$63.74 ,,$63.74 ,$63.74 ,$63.74 ,$63.74 ,$63.74 ,$56.66 ,$63.74 
IP_RX-80000001-ERX30271,INPATIENT,PROMETHAZINE 25MG SUPP,Z7610,0591-2992-39,250,$70.84 ,$56.67 ,$57.38 ,$57.38 ,$57.38 ,$56.67 ,$56.67 ,$56.67 ,$56.67 ,$56.67 ,$56.67 ,$56.67 ,$56.67 ,$63.76 ,$63.76 ,$63.76 ,$60.21 ,$60.21 ,$60.21 ,$63.76 ,$63.76 ,,$63.76 ,$63.76 ,$63.76 ,$63.76 ,$63.76 ,$56.67 ,$63.76 
IP_RX-80000001-ERX324314,INPATIENT,METRONIDAZOLE 500MG/100ML SOLN,J3490,,250,$75.00 ,$60.00 ,$60.75 ,$60.75 ,$60.75 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$67.50 ,$67.50 ,$67.50 ,$63.75 ,$63.75 ,$63.75 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$60.00 ,$67.50 
IP_RX-80000001-ERX3498,INPATIENT,BUPIVACAINE 0.25% SOLN,S0020,0409-1160-01,636,$75.00 ,$60.00 ,$60.75 ,$60.75 ,$60.75 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$67.50 ,$67.50 ,$67.50 ,$63.75 ,$63.75 ,$63.75 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$60.00 ,$67.50 
IP_RX-80000001-ERX3499,INPATIENT,BUPIVACAINE 0.5% SOLN 50 ML VIAL,S0020,0409-1163-01,636,$75.00 ,$60.00 ,$60.75 ,$60.75 ,$60.75 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$67.50 ,$67.50 ,$67.50 ,$63.75 ,$63.75 ,$63.75 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$60.00 ,$67.50 
IP_RX-80000001-ERX50001072,INPATIENT,"AZTREONAM 1,000MG/50ML SOLN",J3490,63323-401-20,250,$140.71 ,$112.57 ,$113.98 ,$113.98 ,$113.98 ,$112.57 ,$112.57 ,$112.57 ,$112.57 ,$112.57 ,$112.57 ,$112.57 ,$112.57 ,$126.64 ,$126.64 ,$126.64 ,$119.60 ,$119.60 ,$119.60 ,$126.64 ,$126.64 ,,$126.64 ,$126.64 ,$126.64 ,$126.64 ,$126.64 ,$112.57 ,$126.64 
IP_RX-80000001-ERX50001678,INPATIENT,MISOPROSTOL 25MCG TABS,S0191,,250,$15.00 ,$12.00 ,$12.15 ,$12.15 ,$12.15 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$13.50 ,$13.50 ,$13.50 ,$12.75 ,$12.75 ,$12.75 ,$13.50 ,$13.50 ,,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$12.00 ,$13.50 
IP_RX-80000001-ERX50003087,INPATIENT,MULTIVITAMINS,Z7610,,250,$2.00 ,$1.60 ,$1.62 ,$1.62 ,$1.62 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.80 ,$1.80 ,$1.80 ,$1.70 ,$1.70 ,$1.70 ,$1.80 ,$1.80 ,,$1.80 ,$1.80 ,$1.80 ,$1.80 ,$1.80 ,$1.60 ,$1.80 
IP_RX-80000001-ERX50003095,INPATIENT,MULTIVITAMINS+MINERALS,Z7610,0904-5492-61,250,$2.00 ,$1.60 ,$1.62 ,$1.62 ,$1.62 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.80 ,$1.80 ,$1.80 ,$1.70 ,$1.70 ,$1.70 ,$1.80 ,$1.80 ,,$1.80 ,$1.80 ,$1.80 ,$1.80 ,$1.80 ,$1.60 ,$1.80 
IP_RX-80000001-ERX50003174,INPATIENT,"AZTREONAM 2,000MG/100ML SOLN",J3490,63323-402-20,250,$132.27 ,$105.82 ,$107.14 ,$107.14 ,$107.14 ,$105.82 ,$105.82 ,$105.82 ,$105.82 ,$105.82 ,$105.82 ,$105.82 ,$105.82 ,$119.04 ,$119.04 ,$119.04 ,$112.43 ,$112.43 ,$112.43 ,$119.04 ,$119.04 ,,$119.04 ,$119.04 ,$119.04 ,$119.04 ,$119.04 ,$105.82 ,$119.04 
IP_RX-80000001-ERX50004710,INPATIENT,NOREPINEPHRINE 32MCG/ML,J3490,,250,$263.25 ,$210.60 ,$213.23 ,$213.23 ,$213.23 ,$210.60 ,$210.60 ,$210.60 ,$210.60 ,$210.60 ,$210.60 ,$210.60 ,$210.60 ,$236.93 ,$236.93 ,$236.93 ,$223.76 ,$223.76 ,$223.76 ,$236.93 ,$236.93 ,,$236.93 ,$236.93 ,$236.93 ,$236.93 ,$236.93 ,$210.60 ,$236.93 
IP_RX-80000001-ERX54056,INPATIENT,OLANZAPINE 10MG SOLR,J3490,,250,$148.86 ,$119.09 ,$120.58 ,$120.58 ,$120.58 ,$119.09 ,$119.09 ,$119.09 ,$119.09 ,$119.09 ,$119.09 ,$119.09 ,$119.09 ,$133.97 ,$133.97 ,$133.97 ,$126.53 ,$126.53 ,$126.53 ,$133.97 ,$133.97 ,,$133.97 ,$133.97 ,$133.97 ,$133.97 ,$133.97 ,$119.09 ,$133.97 
IP_RX-80000001-ERX55000024,INPATIENT,FAMOTIDINE 10MG/ML SOLN,S0028,0641-6022-25,636,$75.00 ,$60.00 ,$60.75 ,$60.75 ,$60.75 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$67.50 ,$67.50 ,$67.50 ,$63.75 ,$63.75 ,$63.75 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$60.00 ,$67.50 
IP_RX-80000001-ERX8707,INPATIENT,FOLIC ACID 5MG/ML SOLN 10 ML VIAL,J3490,63323-184-10,250,$75.00 ,$60.00 ,$60.75 ,$60.75 ,$60.75 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$67.50 ,$67.50 ,$67.50 ,$63.75 ,$63.75 ,$63.75 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$60.00 ,$67.50 
IP_RX-80000003-ERX17782,INPATIENT,PROCHLORPERAZINE 5MG TABS,Z7610,59746-113-06,250,$15.00 ,$12.00 ,$12.15 ,$12.15 ,$12.15 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$13.50 ,$13.50 ,$13.50 ,$12.75 ,$12.75 ,$12.75 ,$13.50 ,$13.50 ,,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$12.00 ,$13.50 
IP_RX-80000003-ERX17891,INPATIENT,PROMETHAZINE 25MG TABS,Q0169,,250,$7.50 ,$6.00 ,$6.08 ,$6.08 ,$6.08 ,$6.00 ,$6.00 ,$6.00 ,$6.00 ,$6.00 ,$6.00 ,$6.00 ,$6.00 ,$6.75 ,$6.75 ,$6.75 ,$6.38 ,$6.38 ,$6.38 ,$6.75 ,$6.75 ,,$6.75 ,$6.75 ,$6.75 ,$6.75 ,$6.75 ,$6.00 ,$6.75 
IP_RX-80000003-ERX27083,INPATIENT,DRONABINOL 2.5MG CAPS,Q0167,0904-6745-61,250,$32.50 ,$26.00 ,$26.33 ,$26.33 ,$26.33 ,$26.00 ,$26.00 ,$26.00 ,$26.00 ,$26.00 ,$26.00 ,$26.00 ,$26.00 ,$29.25 ,$29.25 ,$29.25 ,$27.63 ,$27.63 ,$27.63 ,$29.25 ,$29.25 ,,$29.25 ,$29.25 ,$29.25 ,$29.25 ,$29.25 ,$26.00 ,$29.25 
IP_RX-80000007-ERX325682,INPATIENT,NIRMATRELVIR/RITONAVIR **EGFR 60ML/MIN AND GREATER** 150MG & 100MG TBPK 30 EACH BOX,,,250,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 
IP_RX-80000007-ERX50006437,INPATIENT,BARICITINIB 2MG TABS,,,250,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 
IP_RX-80000008-ERX55000030,INPATIENT,LABETALOL 5MG/ML,J3490,,250,$75.00 ,$60.00 ,$60.75 ,$60.75 ,$60.75 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$67.50 ,$67.50 ,$67.50 ,$63.75 ,$63.75 ,$63.75 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$60.00 ,$67.50 
IP_RX-80000037-ERX11478,INPATIENT,KETAMINE 10MG/ML SOLN 20 ML VIAL,J3490,,250,$130.00 ,$104.00 ,$105.30 ,$105.30 ,$105.30 ,$104.00 ,$104.00 ,$104.00 ,$104.00 ,$104.00 ,$104.00 ,$104.00 ,$104.00 ,$117.00 ,$117.00 ,$117.00 ,$110.50 ,$110.50 ,$110.50 ,$117.00 ,$117.00 ,,$117.00 ,$117.00 ,$117.00 ,$117.00 ,$117.00 ,$104.00 ,$117.00 
IP_RX-80000037-ERX11479,INPATIENT,KETAMINE 100MG/ML SOLN 5 ML VIAL,J3490,,636,$22.50 ,$18.00 ,$18.23 ,$18.23 ,$18.23 ,$18.00 ,$18.00 ,$18.00 ,$18.00 ,$18.00 ,$18.00 ,$18.00 ,$18.00 ,$20.25 ,$20.25 ,$20.25 ,$19.13 ,$19.13 ,$19.13 ,$20.25 ,$20.25 ,,$20.25 ,$20.25 ,$20.25 ,$20.25 ,$20.25 ,$18.00 ,$20.25 
IP_RX-80000037-ERX11480,INPATIENT,KETAMINE 50MG/ML SOLN 10 ML VIAL,J3490,67457-001-10,250,$90.00 ,$72.00 ,$72.90 ,$72.90 ,$72.90 ,$72.00 ,$72.00 ,$72.00 ,$72.00 ,$72.00 ,$72.00 ,$72.00 ,$72.00 ,$81.00 ,$81.00 ,$81.00 ,$76.50 ,$76.50 ,$76.50 ,$81.00 ,$81.00 ,,$81.00 ,$81.00 ,$81.00 ,$81.00 ,$81.00 ,$72.00 ,$81.00 
IP_RX-80000037-ERX144299,INPATIENT,KETAMINE 50MG/5ML SOSY,J3490,,250,$90.00 ,$72.00 ,$72.90 ,$72.90 ,$72.90 ,$72.00 ,$72.00 ,$72.00 ,$72.00 ,$72.00 ,$72.00 ,$72.00 ,$72.00 ,$81.00 ,$81.00 ,$81.00 ,$76.50 ,$76.50 ,$76.50 ,$81.00 ,$81.00 ,,$81.00 ,$81.00 ,$81.00 ,$81.00 ,$81.00 ,$72.00 ,$81.00 
IP_RX-80000037-ERX92678,INPATIENT,TRYPAN BLUE 0.06% SOLN,J3490,68803-612-10,636,$251.28 ,$201.02 ,$203.54 ,$203.54 ,$203.54 ,$201.02 ,$201.02 ,$201.02 ,$201.02 ,$201.02 ,$201.02 ,$201.02 ,$201.02 ,$226.15 ,$226.15 ,$226.15 ,$213.59 ,$213.59 ,$213.59 ,$226.15 ,$226.15 ,,$226.15 ,$226.15 ,$226.15 ,$226.15 ,$226.15 ,$201.02 ,$226.15 
IP_RX-80000037-ERX9401,INPATIENT,GLYCOPYRROLATE 0.2MG/ML SOLN,J3490,0517-4601-25,636,$113.75 ,$91.00 ,$92.14 ,$92.14 ,$92.14 ,$91.00 ,$91.00 ,$91.00 ,$91.00 ,$91.00 ,$91.00 ,$91.00 ,$91.00 ,$102.38 ,$102.38 ,$102.38 ,$96.69 ,$96.69 ,$96.69 ,$102.38 ,$102.38 ,,$102.38 ,$102.38 ,$102.38 ,$102.38 ,$102.38 ,$91.00 ,$102.38 
IP_RX-81000000-ERX10122,INPATIENT,HYDRALAZINE 10MG TABS,,,250,$15.00 ,$12.00 ,$12.15 ,$12.15 ,$12.15 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$13.50 ,$13.50 ,$13.50 ,$12.75 ,$12.75 ,$12.75 ,$13.50 ,$13.50 ,,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$12.00 ,$13.50 
IP_RX-81000000-ERX10124,INPATIENT,HYDRALAZINE 25MG TABS,,,250,$15.00 ,$12.00 ,$12.15 ,$12.15 ,$12.15 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$13.50 ,$13.50 ,$13.50 ,$12.75 ,$12.75 ,$12.75 ,$13.50 ,$13.50 ,,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$12.00 ,$13.50 
IP_RX-81000000-ERX10190,INPATIENT,HYDROCHLOROTHIAZIDE 25MG TABS,,,250,$15.00 ,$12.00 ,$12.15 ,$12.15 ,$12.15 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$13.50 ,$13.50 ,$13.50 ,$12.75 ,$12.75 ,$12.75 ,$13.50 ,$13.50 ,,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$12.00 ,$13.50 
IP_RX-81000000-ERX10209,INPATIENT,HYDROCORTISONE 1% CREA 28 G TUBE,,,250,$2.00 ,$1.60 ,$1.62 ,$1.62 ,$1.62 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.80 ,$1.80 ,$1.80 ,$1.70 ,$1.70 ,$1.70 ,$1.80 ,$1.80 ,,$1.80 ,$1.80 ,$1.80 ,$1.80 ,$1.80 ,$1.60 ,$1.80 
IP_RX-81000000-ERX10210,INPATIENT,HYDROCORTISONE 2.5% CREA 28 G TUBE,,,250,$2.00 ,$1.60 ,$1.62 ,$1.62 ,$1.62 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.80 ,$1.80 ,$1.80 ,$1.70 ,$1.70 ,$1.70 ,$1.80 ,$1.80 ,,$1.80 ,$1.80 ,$1.80 ,$1.80 ,$1.80 ,$1.60 ,$1.80 
IP_RX-81000000-ERX10220,INPATIENT,HYDROCORTISONE 10MG TABS,,,250,$7.50 ,$6.00 ,$6.08 ,$6.08 ,$6.08 ,$6.00 ,$6.00 ,$6.00 ,$6.00 ,$6.00 ,$6.00 ,$6.00 ,$6.00 ,$6.75 ,$6.75 ,$6.75 ,$6.38 ,$6.38 ,$6.38 ,$6.75 ,$6.75 ,,$6.75 ,$6.75 ,$6.75 ,$6.75 ,$6.75 ,$6.00 ,$6.75 
IP_RX-81000000-ERX10231,INPATIENT,HYDROCORTISONE 25MG SUPP,,,250,$57.70 ,$46.16 ,$46.74 ,$46.74 ,$46.74 ,$46.16 ,$46.16 ,$46.16 ,$46.16 ,$46.16 ,$46.16 ,$46.16 ,$46.16 ,$51.93 ,$51.93 ,$51.93 ,$49.05 ,$49.05 ,$49.05 ,$51.93 ,$51.93 ,,$51.93 ,$51.93 ,$51.93 ,$51.93 ,$51.93 ,$46.16 ,$51.93 
IP_RX-81000000-ERX10258,INPATIENT,HYDROGEN PEROXIDE 3% SOLN 480 ML BOTTLE,,,250,$2.00 ,$1.60 ,$1.62 ,$1.62 ,$1.62 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.80 ,$1.80 ,$1.80 ,$1.70 ,$1.70 ,$1.70 ,$1.80 ,$1.80 ,,$1.80 ,$1.80 ,$1.80 ,$1.80 ,$1.80 ,$1.60 ,$1.80 
IP_RX-81000000-ERX10275,INPATIENT,HYDROMORPHONE 2MG TABS,,,250,$40.00 ,$32.00 ,$32.40 ,$32.40 ,$32.40 ,$32.00 ,$32.00 ,$32.00 ,$32.00 ,$32.00 ,$32.00 ,$32.00 ,$32.00 ,$36.00 ,$36.00 ,$36.00 ,$34.00 ,$34.00 ,$34.00 ,$36.00 ,$36.00 ,,$36.00 ,$36.00 ,$36.00 ,$36.00 ,$36.00 ,$32.00 ,$36.00 
IP_RX-81000000-ERX10277,INPATIENT,HYDROMORPHONE 4MG TABS,,,250,$40.00 ,$32.00 ,$32.40 ,$32.40 ,$32.40 ,$32.00 ,$32.00 ,$32.00 ,$32.00 ,$32.00 ,$32.00 ,$32.00 ,$32.00 ,$36.00 ,$36.00 ,$36.00 ,$34.00 ,$34.00 ,$34.00 ,$36.00 ,$36.00 ,,$36.00 ,$36.00 ,$36.00 ,$36.00 ,$36.00 ,$32.00 ,$36.00 
IP_RX-81000000-ERX10278,INPATIENT,HYDROMORPHONE POWD,,,250,$170.00 ,$136.00 ,$137.70 ,$137.70 ,$137.70 ,$136.00 ,$136.00 ,$136.00 ,$136.00 ,$136.00 ,$136.00 ,$136.00 ,$136.00 ,$153.00 ,$153.00 ,$153.00 ,$144.50 ,$144.50 ,$144.50 ,$153.00 ,$153.00 ,,$153.00 ,$153.00 ,$153.00 ,$153.00 ,$153.00 ,$136.00 ,$153.00 
