Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Central California Alliance for Health,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medi-Cal / California Health & Wellness,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Stanford Advantage Medicare Adv_ HMO,Sutter Health Plus HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
APRDRG-006-3,INPATIENT,All Inpatient Services for APRDRG-006-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$248,517.00 ",,,,,,,,,,,,,"$248,517.00 ","$248,517.00 "
APRDRG-006-4,INPATIENT,All Inpatient Services for APRDRG-006-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$389,173.00 ",,,,,,,,,,,,,"$389,173.00 ","$389,173.00 "
APRDRG-007-1,INPATIENT,All Inpatient Services for APRDRG-007-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$155,994.00 ",,,,,,,,,,,,,"$155,994.00 ","$155,994.00 "
APRDRG-007-2,INPATIENT,All Inpatient Services for APRDRG-007-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$206,086.00 ",,,,,,,,,,,,,"$206,086.00 ","$206,086.00 "
APRDRG-007-3,INPATIENT,All Inpatient Services for APRDRG-007-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$256,014.00 ",,,,,,,,,,,,,"$256,014.00 ","$256,014.00 "
APRDRG-007-4,INPATIENT,All Inpatient Services for APRDRG-007-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$429,953.00 ",,,,,,,,,,,,,"$429,953.00 ","$429,953.00 "
APRDRG-008-1,INPATIENT,All Inpatient Services for APRDRG-008-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$90,403.00 ",,,,,,,,,,,,,"$90,403.00 ","$90,403.00 "
APRDRG-008-2,INPATIENT,All Inpatient Services for APRDRG-008-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$115,067.00 ",,,,,,,,,,,,,"$115,067.00 ","$115,067.00 "
APRDRG-008-3,INPATIENT,All Inpatient Services for APRDRG-008-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$141,166.00 ",,,,,,,,,,,,,"$141,166.00 ","$141,166.00 "
APRDRG-008-4,INPATIENT,All Inpatient Services for APRDRG-008-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$230,455.00 ",,,,,,,,,,,,,"$230,455.00 ","$230,455.00 "
APRDRG-009-1,INPATIENT,All Inpatient Services for APRDRG-009-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$112,025.00 ",,,,,,,,,,,,,"$112,025.00 ","$112,025.00 "
APRDRG-009-2,INPATIENT,All Inpatient Services for APRDRG-009-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$141,070.00 ",,,,,,,,,,,,,"$141,070.00 ","$141,070.00 "
APRDRG-009-3,INPATIENT,All Inpatient Services for APRDRG-009-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$195,700.00 ",,,,,,,,,,,,,"$195,700.00 ","$195,700.00 "
APRDRG-009-4,INPATIENT,All Inpatient Services for APRDRG-009-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$406,066.00 ",,,,,,,,,,,,,"$406,066.00 ","$406,066.00 "
APRDRG-020-1,INPATIENT,All Inpatient Services for APRDRG-020-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$58,110.00 ",,,,,,,,,,,,,"$58,110.00 ","$58,110.00 "
APRDRG-020-2,INPATIENT,All Inpatient Services for APRDRG-020-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$70,405.00 ",,,,,,,,,,,,,"$70,405.00 ","$70,405.00 "
APRDRG-020-3,INPATIENT,All Inpatient Services for APRDRG-020-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$93,894.00 ",,,,,,,,,,,,,"$93,894.00 ","$93,894.00 "
APRDRG-020-4,INPATIENT,All Inpatient Services for APRDRG-020-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$151,139.00 ",,,,,,,,,,,,,"$151,139.00 ","$151,139.00 "
APRDRG-021-1,INPATIENT,All Inpatient Services for APRDRG-021-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,945.00 ",,,,,,,,,,,,,"$53,945.00 ","$53,945.00 "
APRDRG-021-2,INPATIENT,All Inpatient Services for APRDRG-021-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$68,674.00 ",,,,,,,,,,,,,"$68,674.00 ","$68,674.00 "
APRDRG-021-3,INPATIENT,All Inpatient Services for APRDRG-021-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,418.00 ",,,,,,,,,,,,,"$103,418.00 ","$103,418.00 "
APRDRG-021-4,INPATIENT,All Inpatient Services for APRDRG-021-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$158,963.00 ",,,,,,,,,,,,,"$158,963.00 ","$158,963.00 "
APRDRG-022-1,INPATIENT,All Inpatient Services for APRDRG-022-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,658.00 ",,,,,,,,,,,,,"$36,658.00 ","$36,658.00 "
APRDRG-022-2,INPATIENT,All Inpatient Services for APRDRG-022-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,381.00 ",,,,,,,,,,,,,"$43,381.00 ","$43,381.00 "
APRDRG-022-3,INPATIENT,All Inpatient Services for APRDRG-022-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$62,354.00 ",,,,,,,,,,,,,"$62,354.00 ","$62,354.00 "
APRDRG-022-4,INPATIENT,All Inpatient Services for APRDRG-022-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$129,468.00 ",,,,,,,,,,,,,"$129,468.00 ","$129,468.00 "
APRDRG-023-1,INPATIENT,All Inpatient Services for APRDRG-023-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,107.00 ",,,,,,,,,,,,,"$42,107.00 ","$42,107.00 "
APRDRG-023-2,INPATIENT,All Inpatient Services for APRDRG-023-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$59,255.00 ",,,,,,,,,,,,,"$59,255.00 ","$59,255.00 "
APRDRG-023-3,INPATIENT,All Inpatient Services for APRDRG-023-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,576.00 ",,,,,,,,,,,,,"$100,576.00 ","$100,576.00 "
APRDRG-023-4,INPATIENT,All Inpatient Services for APRDRG-023-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$157,697.00 ",,,,,,,,,,,,,"$157,697.00 ","$157,697.00 "
APRDRG-024-1,INPATIENT,All Inpatient Services for APRDRG-024-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,933.00 ",,,,,,,,,,,,,"$28,933.00 ","$28,933.00 "
APRDRG-024-2,INPATIENT,All Inpatient Services for APRDRG-024-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,401.00 ",,,,,,,,,,,,,"$36,401.00 ","$36,401.00 "
APRDRG-024-3,INPATIENT,All Inpatient Services for APRDRG-024-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$64,614.00 ",,,,,,,,,,,,,"$64,614.00 ","$64,614.00 "
APRDRG-024-4,INPATIENT,All Inpatient Services for APRDRG-024-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$107,594.00 ",,,,,,,,,,,,,"$107,594.00 ","$107,594.00 "
APRDRG-026-1,INPATIENT,All Inpatient Services for APRDRG-026-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,832.00 ",,,,,,,,,,,,,"$33,832.00 ","$33,832.00 "
APRDRG-026-2,INPATIENT,All Inpatient Services for APRDRG-026-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,496.00 ",,,,,,,,,,,,,"$42,496.00 ","$42,496.00 "
APRDRG-026-3,INPATIENT,All Inpatient Services for APRDRG-026-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$65,692.00 ",,,,,,,,,,,,,"$65,692.00 ","$65,692.00 "
APRDRG-026-4,INPATIENT,All Inpatient Services for APRDRG-026-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$122,441.00 ",,,,,,,,,,,,,"$122,441.00 ","$122,441.00 "
APRDRG-027-1,INPATIENT,All Inpatient Services for APRDRG-027-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$46,064.00 ",,,,,,,,,,,,,"$46,064.00 ","$46,064.00 "
APRDRG-027-2,INPATIENT,All Inpatient Services for APRDRG-027-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,326.00 ",,,,,,,,,,,,,"$53,326.00 ","$53,326.00 "
APRDRG-027-3,INPATIENT,All Inpatient Services for APRDRG-027-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$81,249.00 ",,,,,,,,,,,,,"$81,249.00 ","$81,249.00 "
APRDRG-027-4,INPATIENT,All Inpatient Services for APRDRG-027-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$146,933.00 ",,,,,,,,,,,,,"$146,933.00 ","$146,933.00 "
APRDRG-029-1,INPATIENT,All Inpatient Services for APRDRG-029-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,777.00 ",,,,,,,,,,,,,"$49,777.00 ","$49,777.00 "
APRDRG-029-2,INPATIENT,All Inpatient Services for APRDRG-029-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,777.00 ",,,,,,,,,,,,,"$49,777.00 ","$49,777.00 "
APRDRG-029-3,INPATIENT,All Inpatient Services for APRDRG-029-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$67,979.00 ",,,,,,,,,,,,,"$67,979.00 ","$67,979.00 "
APRDRG-029-4,INPATIENT,All Inpatient Services for APRDRG-029-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$117,296.00 ",,,,,,,,,,,,,"$117,296.00 ","$117,296.00 "
APRDRG-030-1,INPATIENT,All Inpatient Services for APRDRG-030-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,760.00 ",,,,,,,,,,,,,"$51,760.00 ","$51,760.00 "
APRDRG-030-2,INPATIENT,All Inpatient Services for APRDRG-030-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$70,356.00 ",,,,,,,,,,,,,"$70,356.00 ","$70,356.00 "
APRDRG-030-3,INPATIENT,All Inpatient Services for APRDRG-030-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$98,185.00 ",,,,,,,,,,,,,"$98,185.00 ","$98,185.00 "
APRDRG-030-4,INPATIENT,All Inpatient Services for APRDRG-030-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$130,018.00 ",,,,,,,,,,,,,"$130,018.00 ","$130,018.00 "
APRDRG-040-1,INPATIENT,All Inpatient Services for APRDRG-040-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,670.00 ",,,,,,,,,,,,,"$24,670.00 ","$24,670.00 "
APRDRG-040-2,INPATIENT,All Inpatient Services for APRDRG-040-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,471.00 ",,,,,,,,,,,,,"$33,471.00 ","$33,471.00 "
APRDRG-040-3,INPATIENT,All Inpatient Services for APRDRG-040-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,707.00 ",,,,,,,,,,,,,"$48,707.00 ","$48,707.00 "
APRDRG-040-4,INPATIENT,All Inpatient Services for APRDRG-040-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$77,473.00 ",,,,,,,,,,,,,"$77,473.00 ","$77,473.00 "
APRDRG-041-1,INPATIENT,All Inpatient Services for APRDRG-041-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,292.00 ",,,,,,,,,,,,,"$18,292.00 ","$18,292.00 "
APRDRG-041-2,INPATIENT,All Inpatient Services for APRDRG-041-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,701.00 ",,,,,,,,,,,,,"$21,701.00 ","$21,701.00 "
APRDRG-041-3,INPATIENT,All Inpatient Services for APRDRG-041-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,553.00 ",,,,,,,,,,,,,"$28,553.00 ","$28,553.00 "
APRDRG-041-4,INPATIENT,All Inpatient Services for APRDRG-041-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,329.00 ",,,,,,,,,,,,,"$42,329.00 ","$42,329.00 "
APRDRG-042-1,INPATIENT,All Inpatient Services for APRDRG-042-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,002.00 ",,,,,,,,,,,,,"$18,002.00 ","$18,002.00 "
APRDRG-042-2,INPATIENT,All Inpatient Services for APRDRG-042-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,964.00 ",,,,,,,,,,,,,"$22,964.00 ","$22,964.00 "
APRDRG-042-3,INPATIENT,All Inpatient Services for APRDRG-042-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,866.00 ",,,,,,,,,,,,,"$30,866.00 ","$30,866.00 "
APRDRG-042-4,INPATIENT,All Inpatient Services for APRDRG-042-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$56,943.00 ",,,,,,,,,,,,,"$56,943.00 ","$56,943.00 "
APRDRG-043-1,INPATIENT,All Inpatient Services for APRDRG-043-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,811.00 ",,,,,,,,,,,,,"$21,811.00 ","$21,811.00 "
APRDRG-043-2,INPATIENT,All Inpatient Services for APRDRG-043-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,653.00 ",,,,,,,,,,,,,"$29,653.00 ","$29,653.00 "
APRDRG-043-3,INPATIENT,All Inpatient Services for APRDRG-043-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,821.00 ",,,,,,,,,,,,,"$44,821.00 ","$44,821.00 "
APRDRG-043-4,INPATIENT,All Inpatient Services for APRDRG-043-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$88,656.00 ",,,,,,,,,,,,,"$88,656.00 ","$88,656.00 "
APRDRG-044-1,INPATIENT,All Inpatient Services for APRDRG-044-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,886.00 ",,,,,,,,,,,,,"$19,886.00 ","$19,886.00 "
APRDRG-044-2,INPATIENT,All Inpatient Services for APRDRG-044-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,479.00 ",,,,,,,,,,,,,"$27,479.00 ","$27,479.00 "
APRDRG-044-3,INPATIENT,All Inpatient Services for APRDRG-044-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,771.00 ",,,,,,,,,,,,,"$35,771.00 ","$35,771.00 "
APRDRG-044-4,INPATIENT,All Inpatient Services for APRDRG-044-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,702.00 ",,,,,,,,,,,,,"$41,702.00 ","$41,702.00 "
APRDRG-045-1,INPATIENT,All Inpatient Services for APRDRG-045-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,518.00 ",,,,,,,,,,,,,"$21,518.00 ","$21,518.00 "
APRDRG-045-2,INPATIENT,All Inpatient Services for APRDRG-045-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,419.00 ",,,,,,,,,,,,,"$26,419.00 ","$26,419.00 "
APRDRG-045-3,INPATIENT,All Inpatient Services for APRDRG-045-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,459.00 ",,,,,,,,,,,,,"$35,459.00 ","$35,459.00 "
APRDRG-045-4,INPATIENT,All Inpatient Services for APRDRG-045-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,777.00 ",,,,,,,,,,,,,"$54,777.00 ","$54,777.00 "
APRDRG-046-1,INPATIENT,All Inpatient Services for APRDRG-046-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,067.00 ",,,,,,,,,,,,,"$18,067.00 ","$18,067.00 "
APRDRG-046-2,INPATIENT,All Inpatient Services for APRDRG-046-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,391.00 ",,,,,,,,,,,,,"$22,391.00 ","$22,391.00 "
APRDRG-046-3,INPATIENT,All Inpatient Services for APRDRG-046-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,591.00 ",,,,,,,,,,,,,"$28,591.00 ","$28,591.00 "
APRDRG-046-4,INPATIENT,All Inpatient Services for APRDRG-046-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$52,231.00 ",,,,,,,,,,,,,"$52,231.00 ","$52,231.00 "
APRDRG-047-1,INPATIENT,All Inpatient Services for APRDRG-047-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,794.00 ",,,,,,,,,,,,,"$17,794.00 ","$17,794.00 "
APRDRG-047-2,INPATIENT,All Inpatient Services for APRDRG-047-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,198.00 ",,,,,,,,,,,,,"$20,198.00 ","$20,198.00 "
APRDRG-047-3,INPATIENT,All Inpatient Services for APRDRG-047-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,570.00 ",,,,,,,,,,,,,"$25,570.00 ","$25,570.00 "
APRDRG-047-4,INPATIENT,All Inpatient Services for APRDRG-047-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,437.00 ",,,,,,,,,,,,,"$40,437.00 ","$40,437.00 "
APRDRG-048-1,INPATIENT,All Inpatient Services for APRDRG-048-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,493.00 ",,,,,,,,,,,,,"$16,493.00 ","$16,493.00 "
APRDRG-048-2,INPATIENT,All Inpatient Services for APRDRG-048-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,275.00 ",,,,,,,,,,,,,"$19,275.00 ","$19,275.00 "
APRDRG-048-3,INPATIENT,All Inpatient Services for APRDRG-048-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,638.00 ",,,,,,,,,,,,,"$26,638.00 ","$26,638.00 "
APRDRG-048-4,INPATIENT,All Inpatient Services for APRDRG-048-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,908.00 ",,,,,,,,,,,,,"$50,908.00 ","$50,908.00 "
APRDRG-049-1,INPATIENT,All Inpatient Services for APRDRG-049-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,280.00 ",,,,,,,,,,,,,"$25,280.00 ","$25,280.00 "
APRDRG-049-2,INPATIENT,All Inpatient Services for APRDRG-049-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,328.00 ",,,,,,,,,,,,,"$49,328.00 ","$49,328.00 "
APRDRG-049-3,INPATIENT,All Inpatient Services for APRDRG-049-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,303.00 ",,,,,,,,,,,,,"$60,303.00 ","$60,303.00 "
APRDRG-049-4,INPATIENT,All Inpatient Services for APRDRG-049-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$96,214.00 ",,,,,,,,,,,,,"$96,214.00 ","$96,214.00 "
APRDRG-050-1,INPATIENT,All Inpatient Services for APRDRG-050-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,564.00 ",,,,,,,,,,,,,"$17,564.00 ","$17,564.00 "
APRDRG-050-2,INPATIENT,All Inpatient Services for APRDRG-050-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,662.00 ",,,,,,,,,,,,,"$29,662.00 ","$29,662.00 "
APRDRG-050-3,INPATIENT,All Inpatient Services for APRDRG-050-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,480.00 ",,,,,,,,,,,,,"$47,480.00 ","$47,480.00 "
APRDRG-050-4,INPATIENT,All Inpatient Services for APRDRG-050-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,365.00 ",,,,,,,,,,,,,"$100,365.00 ","$100,365.00 "
APRDRG-051-1,INPATIENT,All Inpatient Services for APRDRG-051-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,147.00 ",,,,,,,,,,,,,"$13,147.00 ","$13,147.00 "
APRDRG-051-2,INPATIENT,All Inpatient Services for APRDRG-051-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,858.00 ",,,,,,,,,,,,,"$19,858.00 ","$19,858.00 "
APRDRG-051-3,INPATIENT,All Inpatient Services for APRDRG-051-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,558.00 ",,,,,,,,,,,,,"$34,558.00 ","$34,558.00 "
APRDRG-051-4,INPATIENT,All Inpatient Services for APRDRG-051-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$64,687.00 ",,,,,,,,,,,,,"$64,687.00 ","$64,687.00 "
APRDRG-052-1,INPATIENT,All Inpatient Services for APRDRG-052-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,880.00 ",,,,,,,,,,,,,"$15,880.00 ","$15,880.00 "
APRDRG-052-2,INPATIENT,All Inpatient Services for APRDRG-052-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,648.00 ",,,,,,,,,,,,,"$18,648.00 ","$18,648.00 "
APRDRG-052-3,INPATIENT,All Inpatient Services for APRDRG-052-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,248.00 ",,,,,,,,,,,,,"$24,248.00 ","$24,248.00 "
APRDRG-052-4,INPATIENT,All Inpatient Services for APRDRG-052-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,422.00 ",,,,,,,,,,,,,"$48,422.00 ","$48,422.00 "
APRDRG-053-1,INPATIENT,All Inpatient Services for APRDRG-053-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,308.00 ",,,,,,,,,,,,,"$13,308.00 ","$13,308.00 "
APRDRG-053-2,INPATIENT,All Inpatient Services for APRDRG-053-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,065.00 ",,,,,,,,,,,,,"$17,065.00 ","$17,065.00 "
